Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,82.9,83.1,83,82.8,82.7,82.7,82.7,82.9,82.9,82.8,82.5,82.6
1970,82.8,82.8,82.9,83,82.9,82.6,82.6,82.5,82.5,82.4,82.5,82.5
1971,82.3,82,81.9,82.2,82.3,82,82.1,82.1,82,81.7,81.9,81.9
1972,81.6,81.5,81.8,81.7,81.6,81.7,81.7,81.6,81.6,81.4,81.4,81.5
1973,81.2,81.4,81.6,81.4,81.2,81.2,81.3,81.1,81,81.1,81.3,81.4
1974,81.8,81.7,81.3,81,81.1,80.9,80.7,80.9,80.8,80.8,80.9,80.7
1975,80.6,80.4,80.4,80.5,80.7,80.2,80.4,80.4,80.2,80,79.9,79.6
1976,79.7,79.6,79.6,79.9,79.8,79.7,79.9,79.9,79.9,79.8,80,79.8
1977,79.6,79.8,79.7,79.6,79.6,79.8,79.6,79.7,79.4,79.8,79.9,80
1978,79.9,79.8,79.7,79.8,79.8,79.8,79.7,79.6,79.5,79.6,80,80
1979,80.1,80.3,79.9,79.8,79.5,79.7,79.8,79.7,79.8,79.7,79.5,79.5
1980,79.7,79.9,79.4,79.5,79.6,79.3,79.4,79.4,79.3,79.2,79.2,79
1981,79.1,79.1,79.3,79.3,79.5,78.9,78.9,78.9,78.7,78.7,78.7,78.6
1982,78.6,78.7,78.7,78.8,78.9,78.8,78.8,78.7,78.9,78.8,78.8,78.7
1983,78.2,78.2,78.2,78.3,78.3,78.7,78.7,78.7,78.6,78.4,78.5,78.3
1984,78.3,78.3,78.2,78.3,78.3,78.4,78.4,78.3,78.4,78.3,78.3,78.3
1985,78.1,78,78.1,78.2,78.1,78,77.9,78,78.2,78.3,78.1,78
1986,78.3,78.1,78.1,78,78,78.1,78.1,78,78.1,78,78.2,78.4
1987,78.2,78.1,78.1,78,78.2,78,78,78,77.9,78,78,77.8
1988,77.9,78,77.8,78.1,78,77.8,77.9,78.1,77.8,77.9,77.9,77.8
1989,78.1,78.1,78.1,78.2,77.9,78.2,78.1,78,77.8,78,78,78
1990,78.6,78.4,78.4,78.1,78.2,78.1,78.1,78.2,78,78,78.2,78.1
1991,77.9,77.8,78,78.1,77.7,77.8,77.7,77.6,77.7,77.4,77.5,77.3
1992,77.5,77.4,77.7,77.8,78,78,77.9,77.8,77.7,77.4,77.4,77.3
1993,77.3,77.2,77.3,77.2,77.4,77.5,77.5,77.5,77.1,77.2,77,76.9
1994,77,76.8,76.7,76.6,76.6,76.5,76.6,76.7,76.8,76.9,77,77.1
1995,77.1,77,77,77,76.6,76.6,76.5,76.4,76.7,76.5,76.4,76.3
1996,76.4,76.7,76.7,76.7,76.8,76.9,77,76.8,76.9,77,76.9,76.8
1997,76.9,76.8,77,77,76.9,77,77,77,76.9,76.9,77,76.9
1998,76.8,76.8,76.7,76.9,76.9,76.8,76.9,76.5,76.8,76.8,76.8,76.8
1999,76.9,76.9,76.6,76.6,76.6,76.7,76.7,76.6,76.6,76.5,76.6,76.6
2000,77,77.2,76.9,76.7,76.6,76.6,76.5,76.7,76.5,76.5,76.5,76.6
2001,76.9,76.8,76.7,76.6,76.5,76.3,76.4,76.3,76.5,76.5,76.4,76.5
2002,76.3,76.4,76.4,76.5,76.7,76.4,76.4,76.4,76.6,76.3,75.9,75.9
2003,75.8,76,75.9,76.1,76,76,75.9,75.8,76,75.9,76,75.9
2004,76.1,75.7,75.8,75.5,75.6,75.8,75.9,75.9,75.7,75.7,75.8,75.6
2005,75.5,75.7,75.6,75.8,76,76,75.9,76.1,75.9,75.8,75.6,75.6
2006,75.8,75.9,76,76,76,75.8,75.5,75.8,75.9,75.9,76,76.2
2007,76.3,76.2,76.1,76,75.9,75.9,75.8,75.6,75.6,75.5,75.9,75.8
2008,76.1,75.9,75.9,75.7,75.6,75.7,75.8,75.7,75.7,75.6,75.5,75.3
2009,75.3,75.2,74.9,75.2,75.2,75.1,74.9,74.8,74.5,74.5,74.4,73.9
2010,74.1,74.1,74.3,74.7,74.3,74.2,74.1,74.2,74.1,73.6,73.7,73.6
2011,73.4,73.5,73.4,73.5,73.5,73.4,73.3,73.4,73.4,73.3,73.4,73.4
2012,73.3,73.2,73.2,73,73.1,73.1,73,72.8,73,73.1,72.9,73
2013,73.1,72.8,72.6,72.7,72.7,72.6,72.5,72.4,72.4,71.9,72.2,72
2014,72,71.9,72.1,71.8,71.9,72,72,72.1,72,71.7,71.8,71.9
2015,71.9,71.8,71.8,71.9,72,71.7,71.7,71.6,71.4,71.4,71.3,71.6
2016,71.5,71.8,71.9,71.9,71.6,71.9,71.8,71.8,71.8,71.6,71.5,71.5
2017,71.7,71.6,71.6,71.7,71.5,71.6,71.6,71.6,71.8,71.6,71.5,71.6
2018,71.6,71.8,71.8,71.8,71.8,71.7,71.5,71.4,71.4,71.5,71.5,71.5
2019,71.7,71.6,71.7,71.6,71.7,71.6,71.7,71.7,71.6,71.6,71.7,71.6
2020,71.6,71.5,70.9,68.6,69.1,69.8,69.7,70.1,69.9,70,69.8,69.7
2021,69.6,69.5,69.4,69.8,69.7,69.9,70,70,70,69.9,70.2,70
2022,70.1,70.4,70.4,70.3,70.2,70.1,69.9,70.1,70.4,70.4,70.3,70.4
2023,70.2,70.2,70.6,70.3,70.3,70.5,70.4,70.5,70.6,,,
