Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,81.2,81.5,81.4,81.2,81.1,81.1,80.9,81.1,80.9,80.9,80.8,80.7
1970,80.7,80.5,80.4,80.3,80.1,79.8,79.6,79.4,79.3,79.1,79.0,78.7
1971,78.7,78.4,78.4,78.7,78.7,78.5,78.5,78.5,78.4,78.3,78.3,78.2
1972,78.1,78.2,78.4,78.3,78.3,78.4,78.4,78.5,78.5,78.3,78.4,78.6
1973,78.4,78.6,78.8,78.6,78.5,78.6,78.8,78.5,78.5,78.7,78.8,78.8
1974,78.9,78.8,78.5,78.2,78.3,78.0,77.8,77.8,77.6,77.5,77.1,76.4
1975,75.7,75.3,74.9,74.8,74.8,74.5,74.8,75.0,74.7,74.6,74.5,74.5
1976,74.8,74.9,75.0,75.3,75.3,74.9,75.1,75.2,75.2,75.1,75.1,75.0
1977,75.0,75.1,75.3,75.4,75.4,75.6,75.6,75.6,75.6,75.8,76.1,76.2
1978,76.2,76.1,76.1,76.4,76.5,76.6,76.4,76.3,76.3,76.3,76.7,76.6
1979,76.8,77.0,76.7,76.5,76.5,76.5,76.5,76.3,76.5,76.2,76.0,76.0
1980,75.8,76.0,75.4,74.9,74.6,74.2,74.0,74.1,74.0,74.2,74.3,74.3
1981,74.3,74.3,74.5,74.7,74.6,74.0,74.3,74.0,73.8,73.5,73.1,72.8
1982,72.6,72.6,72.4,72.3,72.4,71.9,71.8,71.6,71.4,71.1,70.9,70.7
1983,70.6,70.5,70.6,70.8,70.8,71.5,71.8,71.8,71.9,72.0,72.3,72.5
1984,72.6,72.9,72.9,72.9,73.2,73.5,73.3,73.3,73.4,73.4,73.4,73.4
1985,73.2,73.2,73.3,73.2,73.4,73.0,73.1,73.3,73.5,73.5,73.4,73.4
1986,73.8,73.3,73.3,73.2,73.1,73.2,73.2,73.2,73.2,73.2,73.5,73.7
1987,73.6,73.6,73.6,73.7,73.9,73.7,73.8,73.8,73.9,74.0,74.1,74.0
