Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,45154,45339,45305,45262,45278,45313,45305,45513,45447,45488,45505,45577
1970,45654,45627,45668,45679,45666,45554,45516,45495,45535,45508,45540,45466
1971,45527,45455,45520,45789,45917,45879,46000,46041,46090,46132,46209,46280
1972,46471,46600,46821,46863,46950,47147,47244,47321,47394,47354,47529,47747
1973,47701,47884,48117,48098,48068,48244,48452,48353,48408,48631,48764,48902
1974,49107,49057,48986,48853,49039,48946,48883,48950,48978,48959,48833,48458
1975,48086,47927,47776,47759,47835,47754,48050,48239,48126,48165,48203,48266
1976,48592,48721,48836,49097,49193,49010,49236,49417,49485,49524,49561,49599
1977,49738,49838,50031,50185,50280,50544,50597,50745,50825,51046,51316,51492
1978,51542,51578,51635,51912,52050,52240,52190,52228,52284,52448,52802,52807
1979,53072,53233,53120,53085,53178,53309,53384,53336,53510,53478,53435,53555
1980,53501,53686,53353,53035,52915,52712,52733,52815,52866,53094,53210,53333
1981,53392,53445,53662,53886,53879,53576,53814,53718,53625,53482,53335,53149
1982,53103,53172,53054,53081,53234,52933,52896,52797,52760,52624,52537,52497
1983,52487,52453,52615,52814,52922,53515,53835,53837,53983,54146,54499,54662
1984,54975,55213,55281,55373,55661,55996,55921,55930,56095,56183,56274,56313
1985,56184,56216,56356,56374,56531,56288,56435,56655,56845,56969,56972,56995
1986,57637,57269,57353,57358,57287,57471,57514,57597,57630,57660,57941,58185
1987,58264,58279,58362,58503,58713,58581,58740,58810,58964,59073,59210,59217
1988,59346,59535,59393,59832,59644,59751,59888,59877,59980,60023,60042,60059
1989,60477,60588,60795,60764,60795,61054,60947,60915,60668,60958,60958,61068
1990,61742,61805,61832,61579,61778,61762,61683,61715,61608,61606,61545,61506
1991,61383,61117,61144,61280,61052,61147,61179,61122,61279,61174,61201,61074
1992,61116,61062,61363,61468,61513,61537,61641,61681,61663,61550,61644,61721
1993,61895,61963,62007,62032,62309,62409,62497,62634,62437,62614,62732,62760
1994,62798,62708,62780,62906,63116,63041,63034,63294,63631,63818,64080,64359
1995,64185,64378,64321,64165,63829,63992,63962,63875,64179,64272,63931,64041
1996,64180,64398,64506,64481,64683,64940,65068,65216,65169,65460,65320,65435
1997,65679,65758,65974,66092,66328,66308,66422,66508,66483,66511,66765,66643
1998,66750,66856,66721,67151,67164,67054,67119,66985,67254,67433,67591,67548
1999,67679,67498,67660,67542,67539,67700,67731,67768,67882,67840,68094,68217
2000,69419,69505,69482,69519,69399,69629,69525,69823,69700,69762,69910,69939
2001,70064,69959,69881,69916,69865,69690,69808,69585,69933,69621,69444,69551
2002,69308,69534,69480,69574,69981,69769,69806,69937,70207,69948,69615,69620
2003,69919,70262,70243,70311,70215,70159,70190,70237,70631,70685,70935,71170
2004,71318,71122,71155,71121,71180,71562,71780,71808,71744,71860,72110,72058
2005,72063,72299,72478,72860,73133,73223,73337,73513,73333,73445,73341,73467
2006,73892,73972,74228,74204,74229,74261,74011,74384,74866,74833,74962,75232
2007,75238,75239,75386,75342,75386,75327,75247,75195,75273,75146,75683,75510
2008,75551,75450,75294,75182,74953,74975,74950,74658,74456,74263,73943,73311
2009,72724,72260,71629,71599,71410,71326,71273,71111,70844,70713,70774,70479
2010,70509,70603,70877,71352,71374,71345,71448,71608,71588,71434,71151,71482
2011,71546,71819,71824,71926,72099,71970,71984,72231,72410,72435,72926,73084
2012,73055,73088,73144,73080,73218,73249,73265,73240,73704,73981,73907,74024
2013,74011,74128,74107,74082,74111,74203,74254,74085,74211,73882,74540,74628
2014,74799,74680,75157,75057,75112,75481,75636,75745,76021,76056,75837,76209
2015,76359,76407,76504,76705,76785,76803,76929,76979,76875,76958,76856,77266
2016,77659,77887,78034,78002,77852,78207,78091,78250,78204,78203,78280,78402
2017,78463,78454,78548,78863,78791,78863,78881,78941,79386,79188,79254,79418
2018,79690,80100,80104,80159,80347,80149,80274,80172,80203,80323,80573,80459
2019,80413,80628,80577,80641,80853,80863,81051,81053,81098,81106,81393,81361
2020,81236,81066,79709,69974,71751,73726,74268,75977,76214,76995,76839,77001
2021,77088,77000,77107,77380,77478,77742,78248,78617,78975,79228,79851,79958
2022,80695,81293,81389,81236,81331,81210,81185,81263,81816,81776,81698,82033
2023,82324,82407,82816,82661,82526,82868,82922,82777,82837,,,
