Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1976,13181,13260,13281,13126,13169,13267,13183,13208,13231,13307,13214,13337
1977,13498,13409,13504,13579,13599,13537,13674,13621,13849,13596,13526,13540
1978,13575,13688,13745,13712,13735,13768,13896,13964,14028,14026,13791,13793
1979,13715,13638,13904,14030,14220,14141,14068,14180,14127,14271,14397,14434
1980,14313,14226,14550,14525,14447,14702,14662,14724,14801,14855,14876,15068
1981,14990,15023,14930,14906,14792,15257,15293,15322,15495,15494,15560,15591
1982,15659,15602,15609,15569,15477,15580,15606,15737,15571,15649,15704,15836
1983,16234,16243,16283,16154,16181,15952,15922,16013,16096,16253,16223,16349
1984,16442,16445,16547,16523,16533,16426,16479,16544,16505,16637,16655,16628
1985,16811,16874,16833,16802,16897,16986,17051,16976,16850,16851,16952,17050
1986,16975,17144,17117,17251,17264,17181,17213,17336,17230,17319,17158,17075
1987,17233,17341,17402,17469,17299,17478,17505,17564,17629,17534,17573,17734
1988,17697,17619,17781,17625,17678,17845,17844,17675,17894,17896,17893,17997
1989,17787,17830,17828,17785,18009,17751,17928,17990,18120,18012,18018,18025
1990,17694,17810,17885,18102,18056,18139,18182,18175,18298,18315,18230,18273
1991,18517,18577,18449,18399,18746,18689,18734,18899,18777,19067,19072,19200
1992,19049,19177,18923,18841,18718,18750,18845,18912,19072,19300,19343,19492
1993,19518,19598,19551,19655,19474,19406,19423,19445,19788,19740,19899,20005
1994,19990,20111,20277,20314,20373,20501,20410,20363,20288,20171,20113,20056
1995,20020,20098,20152,20200,20506,20522,20634,20753,20495,20682,20802,20857
1996,20819,20611,20547,20649,20560,20480,20391,20563,20503,20436,20559,20655
1997,20650,20796,20628,20604,20707,20628,20688,20698,20788,20834,20773,20826
1998,20973,21030,21099,20968,20955,21054,20978,21343,21119,21142,21140,21135
1999,21027,21090,21303,21364,21339,21303,21309,21427,21489,21607,21570,21496
2000,21431,21253,21522,21770,21919,21930,22092,21930,22153,22178,22161,22061
2001,21851,21993,22114,22170,22379,22538,22500,22614,22418,22497,22562,22508
2002,22760,22595,22704,22610,22396,22702,22792,22762,22676,22995,23358,23389
2003,23605,23426,23633,23393,23547,23531,23713,23856,23657,23819,23679,23851
2004,23669,24039,23998,24253,24223,24011,23992,24062,24291,24311,24194,24416
2005,24566,24381,24453,24304,24189,24220,24297,24170,24373,24519,24723,24737
2006,24544,24457,24382,24412,24495,24731,24985,24717,24660,24705,24606,24440
2007,24400,24525,24633,24750,24860,24972,25077,25318,25290,25470,25122,25186
2008,24777,25019,25087,25323,25446,25375,25256,25473,25490,25593,25755,25942
2009,25919,25993,26361,26103,26092,26264,26531,26635,26974,26997,27138,27690
2010,27440,27433,27290,26881,27354,27509,27627,27516,27722,28202,28158,28340
2011,28555,28468,28605,28486,28472,28612,28815,28743,28724,28862,28731,28831
2012,28903,28974,29034,29308,29187,29213,29387,29629,29457,29348,29592,29543
2013,29420,29804,30016,29945,30036,30115,30243,30431,30429,31061,30684,31000
2014,30969,31129,30915,31299,31275,31164,31175,31104,31288,31561,31576,31463
2015,31489,31624,31726,31627,31534,31898,31938,32059,32301,32320,32457,32211
2016,32332,32064,31952,31920,32382,32076,32157,32247,32253,32445,32658,32622
2017,32347,32444,32504,32435,32626,32636,32664,32582,32392,32709,32820,32744
2018,32901,32666,32717,32642,32698,32899,33132,33258,33305,33233,33252,33244
2019,32977,33079,33038,33186,33094,33230,33094,33159,33284,33304,33205,33387
2020,33218,33410,34150,36886,36283,35486,35653,35164,35499,35314,35637,35722
2021,35796,35995,36050,35665,35764,35532,35509,35459,35459,35647,35359,35552
2022,35727,35405,35460,35581,35665,35870,36072,35867,35537,35619,35776,35666
2023,36199,36136,35718,36049,36078,35871,35997,35898,35801,,,
