Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,55577,55624,55680,55745,55822,55892,55997,56089,56146,56245,56344,56472
1970,56576,56688,56770,56865,56988,57093,57208,57306,57425,57543,57667,57767
1971,57883,57978,58074,58204,58317,58466,58572,58686,58807,58932,59044,59169
1972,59473,59607,59748,59848,59979,60117,60223,60314,60408,60512,60594,60726
1973,60849,60938,61061,61155,61267,61386,61490,61592,61705,61810,61911,62072
1974,62201,62293,62396,62506,62626,62740,62835,62946,63090,63202,63307,63406
1975,63550,63647,63744,63842,63959,64080,64217,64326,64469,64575,64690,64799
1976,64934,65022,65129,65225,65330,65444,65555,65671,65791,65907,66016,66163
1977,66282,66383,66474,66588,66726,66850,66969,67086,67206,67321,67426,67541
1978,67652,67749,67848,67959,68083,68208,68318,68421,68541,68696,68809,68930
1979,69064,69162,69294,69368,69515,69643,69754,69866,69982,70166,70281,70424
1980,70538,70638,70745,70852,70960,71076,71215,71309,71414,71533,71636,71733
1981,71850,71951,72037,72142,72251,72359,72472,72559,72670,72795,72921,73020
1982,73120,73209,73287,73392,73499,73585,73685,73774,73867,73984,74094,74236
1983,74339,74434,74528,74611,74712,74814,74927,75012,75115,75216,75327,75433
1984,75692,75786,75880,75973,76073,76176,76269,76350,76451,76565,76663,76753
1985,76760,76829,76904,76988,77068,77135,77243,77306,77389,77498,77566,77651
1986,78101,78171,78236,78309,78387,78484,78586,78634,78722,78802,78874,78973
1987,79132,79216,79303,79387,79474,79536,79625,79668,79740,79807,79885,80002
1988,80120,80203,80260,80326,80402,80526,80608,80669,80751,80851,80924,81001
1989,81162,81256,81333,81413,81524,81592,81679,81754,81790,81905,81968,82055
1990,82499,82561,82691,82788,82877,82967,83048,83181,83293,83408,83475,83573
1991,83666,83745,83799,83862,83966,84065,84158,84256,84363,84517,84605,84727
1992,84816,84896,84936,85008,85090,85177,85265,85361,85458,85559,85653,85742
1993,85847,85961,86047,86084,86150,86207,86269,86309,86413,86494,86580,86706
1994,86778,86820,86901,86946,87000,87095,87123,87248,87321,87439,87529,87617
1995,87528,87572,87622,87664,87691,87750,87818,87905,87940,88027,88046,88172
1996,88223,88296,88366,88440,88530,88570,88614,88650,88733,88840,88971,89040
1997,89446,89556,89604,89680,89766,89829,89888,89982,90068,90140,90251,90339
1998,90391,90476,90502,90580,90622,90700,90802,90889,91003,91101,91192,91220
1999,91124,91189,91215,91302,91368,91487,91561,91692,91793,91896,91986,92052
2000,93203,93256,93332,93540,93685,93859,93967,94102,94229,94351,94504,94468
2001,94506,94616,94717,94897,95054,95143,95259,95381,95503,95609,95689,95794
2002,95875,95929,95999,96116,96205,96375,96468,96552,96732,96860,97022,97139
2003,97635,97762,97869,97979,98083,98196,98304,98434,98568,98696,98814,98927
2004,98866,98966,99065,99170,99279,99396,99512,99642,99776,99904,100017,100126
2005,100219,100321,100419,100520,100634,100754,100874,101004,101136,101265,101383,101489
2006,101560,101657,101754,101857,101963,102075,102187,102308,102428,102549,102656,102751
2007,102956,103046,103143,103248,103361,103477,103598,103723,103847,103973,104087,104197
2008,103866,103961,104052,104152,104258,104371,104490,104613,104741,104869,104978,105083
2009,104902,104999,105095,105196,105299,105412,105530,105651,105780,105906,106018,106125
2010,105998,106100,106198,106301,106407,106522,106641,106761,106887,107007,107114,107216
2011,107203,107292,107381,107469,107566,107668,107773,107884,107994,108104,108203,108290
2012,108087,108188,108289,108396,108503,108613,108727,108851,108973,109096,109206,109308
2013,109448,109541,109635,109736,109839,109943,110054,110172,110292,110414,110515,110613
2014,110746,110838,110930,111027,111126,111230,111342,111451,111567,111679,111778,111875
2015,112117,112209,112304,112400,112498,112605,112714,112825,112940,113049,113149,113241
2016,113483,113566,113653,113746,113844,113951,114058,114173,114289,114401,114506,114603
2017,114297,114375,114455,114538,114627,114721,114817,114918,115020,115120,115212,115292
2018,115669,115748,115832,115921,116017,116115,116220,116328,116437,116546,116646,116739
2019,116436,116513,116586,116665,116752,116843,116939,117040,117140,117242,117331,117413
2020,117110,117181,117254,117330,117410,117492,117580,117672,117763,117854,117936,118010
2021,117864,117902,117949,118003,118059,118125,118192,118261,118337,118406,118466,118520
2022,119612,119669,119726,119780,119831,119899,119977,120058,120140,120225,120301,120360
2023,121283,121346,121415,121488,121565,121646,121735,121832,121931,,,
