Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,46081,46242,46205,46166,46182,46236,46290,46470,46519,46552,46508,46639
1970,46842,46961,47050,47173,47219,47178,47251,47250,47365,47398,47563,47658
1971,47627,47524,47575,47838,48010,47940,48079,48201,48232,48161,48375,48458
1972,48542,48593,48855,48882,48956,49128,49204,49219,49272,49264,49320,49489
1973,49389,49577,49812,49768,49739,49872,50018,49928,49951,50098,50324,50530
1974,50862,50866,50721,50649,50775,50746,50716,50907,50956,51088,51213,51185
1975,51213,51141,51252,51391,51607,51381,51661,51692,51711,51654,51700,51612
1976,51753,51762,51848,52099,52161,52177,52372,52463,52560,52600,52802,52826
1977,52784,52974,52970,53009,53127,53313,53295,53465,53357,53725,53900,54001
1978,54077,54061,54103,54247,54348,54440,54422,54457,54513,54670,55018,55137
1979,55349,55524,55390,55338,55295,55502,55686,55686,55855,55895,55884,55990
1980,56225,56412,56195,56327,56513,56374,56553,56585,56613,56678,56760,56665
1981,56860,56928,57107,57236,57459,57102,57179,57237,57175,57301,57361,57429
1982,57461,57607,57678,57823,58022,58005,58079,58037,58296,58335,58390,58400
1983,58105,58191,58245,58457,58531,58862,59005,58999,59019,58963,59104,59084
1984,59250,59341,59333,59450,59540,59750,59790,59806,59946,59928,60008,60125
1985,59949,59955,60071,60186,60171,60149,60192,60330,60539,60647,60614,60601
1986,61126,61027,61119,61058,61123,61303,61373,61298,61492,61483,61716,61898
1987,61899,61875,61901,61918,62175,62058,62120,62104,62111,62273,62312,62268
1988,62423,62584,62479,62701,62724,62681,62764,62994,62857,62955,63031,63004
1989,63375,63426,63505,63628,63515,63841,63751,63764,63670,63893,63950,64030
1990,64805,64751,64806,64686,64821,64828,64866,65006,64995,65093,65245,65300
1991,65149,65168,65350,65463,65220,65376,65424,65357,65586,65450,65533,65527
1992,65767,65719,66013,66167,66372,66427,66420,66449,66386,66259,66310,66250
1993,66329,66363,66496,66429,66676,66801,66846,66864,66625,66754,66681,66701
1994,66788,66709,66624,66632,66627,66594,66713,66885,67033,67268,67416,67561
1995,67508,67474,67470,67464,67185,67228,67184,67152,67445,67345,67244,67315
1996,67404,67685,67819,67791,67970,68090,68223,68087,68230,68404,68412,68385
1997,68796,68760,68976,69076,69059,69201,69200,69284,69280,69306,69478,69513
1998,69417,69446,69404,69611,69667,69646,69824,69545,69884,69959,70052,70085
1999,70097,70099,69912,69938,70029,70184,70252,70265,70304,70289,70416,70556
2000,71772,72004,71811,71770,71766,71929,71875,72172,72077,72173,72342,72406
2001,72655,72623,72604,72727,72675,72604,72760,72766,73085,73113,73127,73286
2002,73115,73334,73295,73506,73808,73672,73676,73790,74056,73865,73664,73750
2003,74030,74336,74236,74586,74536,74665,74591,74577,74910,74877,75135,75076
2004,75196,74926,75067,74917,75055,75385,75520,75580,75485,75593,75823,75710
2005,75654,75940,75965,76216,76445,76534,76577,76834,76763,76746,76659,76752
2006,77016,77199,77372,77445,77468,77344,77202,77590,77768,77845,78051,78311
2007,78556,78521,78510,78498,78502,78505,78522,78405,78557,78502,78965,79011
2008,79089,78941,78965,78829,78812,78996,79234,79140,79252,79276,79223,79142
2009,78983,79006,78733,79093,79207,79148,78999,79016,78806,78909,78880,78435
2010,78559,78667,78909,79420,79052,79013,79014,79246,79165,78805,78956,78876
2011,78648,78824,78775,78982,79095,79056,78958,79141,79271,79242,79472,79459
2012,79184,79214,79255,79088,79315,79400,79340,79221,79516,79747,79613,79765
2013,80028,79737,79619,79790,79803,79828,79810,79740,79863,79353,79831,79613
2014,79778,79709,80015,79728,79852,80066,80167,80347,80279,80118,80202,80412
2015,80628,80586,80578,80773,80965,80707,80777,80766,80640,80729,80692,81030
2016,81151,81502,81702,81826,81463,81875,81901,81926,82036,81956,81848,81981
2017,81950,81931,81951,82102,82001,82085,82153,82336,82628,82411,82392,82549
2018,82768,83083,83116,83279,83319,83216,83087,83070,83132,83313,83393,83495
2019,83458,83434,83549,83479,83658,83613,83844,83881,83856,83938,84126,84026
2020,83892,83771,83104,80445,81127,82006,81927,82508,82264,82539,82299,82289
2021,82067,81907,81899,82339,82295,82593,82684,82802,82878,82759,83107,82968
2022,83885,84264,84266,84200,84165,84029,83905,84192,84602,84606,84525,84694
2023,85084,85210,85696,85439,85487,85774,85739,85934,86130,,,
