Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1969,927,903,900,904,904,923,985,957,1072,1064,1003,1062
1970,1188,1334,1382,1494,1553,1624,1735,1755,1830,1890,2023,2192
1971,2100,2069,2055,2049,2093,2061,2079,2160,2142,2029,2166,2178
1972,2071,1993,2034,2019,2006,1981,1960,1898,1878,1910,1791,1742
1973,1688,1693,1695,1670,1671,1628,1566,1575,1543,1467,1560,1628
1974,1755,1809,1735,1796,1736,1800,1833,1957,1978,2129,2380,2727
1975,3127,3214,3476,3632,3772,3627,3611,3453,3585,3489,3497,3346
1976,3161,3041,3012,3002,2968,3167,3136,3046,3075,3076,3241,3227
1977,3046,3136,2939,2824,2847,2769,2698,2720,2532,2679,2584,2509
1978,2535,2483,2468,2335,2298,2200,2232,2229,2229,2222,2216,2330
1979,2277,2291,2270,2253,2117,2193,2302,2350,2345,2417,2449,2435
1980,2724,2726,2842,3292,3598,3662,3820,3770,3747,3584,3550,3332
1981,3468,3483,3445,3350,3580,3526,3365,3519,3550,3819,4026,4280
1982,4358,4435,4624,4742,4788,5072,5183,5240,5536,5711,5853,5903
1983,5618,5738,5630,5643,5609,5347,5170,5162,5036,4817,4605,4422
1984,4275,4128,4052,4077,3879,3754,3869,3876,3851,3745,3734,3812
1985,3765,3739,3715,3812,3640,3861,3757,3675,3694,3678,3642,3606
1986,3489,3758,3766,3700,3836,3832,3859,3701,3862,3823,3775,3713
1987,3635,3596,3539,3415,3462,3477,3380,3294,3147,3200,3102,3051
1988,3077,3049,3086,2869,3080,2930,2876,3117,2877,2932,2989,2945
1989,2898,2838,2710,2864,2720,2787,2804,2849,3002,2935,2992,2962
1990,3063,2946,2974,3107,3043,3066,3183,3291,3387,3487,3700,3794
1991,3766,4051,4206,4183,4168,4229,4245,4235,4307,4276,4332,4453
1992,4651,4657,4650,4699,4859,4890,4779,4768,4723,4709,4666,4529
1993,4434,4400,4489,4397,4367,4392,4349,4230,4188,4140,3949,3941
1994,3990,4001,3844,3726,3511,3553,3679,3591,3402,3450,3336,3202
1995,3323,3096,3149,3299,3356,3236,3222,3277,3266,3073,3313,3274
1996,3224,3287,3313,3310,3287,3150,3155,2871,3061,2944,3092,2950
1997,3117,3002,3002,2984,2731,2893,2778,2776,2797,2795,2713,2870
1998,2667,2590,2683,2460,2503,2592,2705,2560,2630,2526,2462,2537
1999,2418,2601,2252,2396,2490,2484,2521,2497,2422,2449,2322,2339
2000,2353,2499,2328,2251,2367,2300,2350,2349,2377,2411,2432,2468
2001,2591,2664,2723,2811,2809,2914,2952,3182,3152,3491,3683,3735
2002,3808,3801,3815,3933,3827,3903,3870,3853,3849,3917,4050,4130
2003,4111,4074,3993,4276,4322,4506,4402,4340,4279,4192,4200,3905
2004,3878,3804,3912,3796,3875,3822,3739,3772,3740,3733,3714,3652
2005,3591,3641,3487,3357,3312,3311,3240,3322,3431,3301,3318,3284
2006,3124,3228,3144,3241,3239,3083,3191,3207,2902,3012,3088,3079
2007,3318,3282,3124,3156,3115,3178,3275,3210,3284,3356,3282,3501
2008,3538,3491,3671,3647,3859,4021,4284,4482,4796,5013,5280,5831
2009,6259,6746,7104,7494,7796,7822,7725,7905,7962,8196,8106,7957
2010,8049,8064,8032,8068,7679,7668,7566,7637,7578,7370,7804,7394
2011,7102,7005,6951,7057,6996,7086,6974,6910,6860,6807,6546,6375
2012,6129,6126,6112,6008,6097,6151,6075,5981,5811,5767,5706,5742
2013,6016,5609,5512,5708,5692,5625,5557,5655,5652,5471,5292,4985
2014,4979,5029,4859,4671,4740,4585,4531,4602,4258,4062,4365,4203
2015,4269,4179,4074,4068,4179,3904,3847,3788,3765,3771,3836,3764
2016,3492,3615,3668,3823,3611,3669,3809,3676,3831,3753,3568,3579
2017,3487,3477,3403,3239,3210,3222,3271,3395,3242,3223,3139,3131
2018,3078,2983,3011,3120,2972,3067,2813,2898,2929,2990,2820,3036
2019,3045,2806,2972,2838,2806,2750,2794,2828,2758,2832,2733,2665
2020,2656,2705,3395,10471,9376,8280,7659,6531,6050,5544,5460,5288
2021,4980,4907,4792,4958,4817,4851,4436,4186,3902,3531,3256,3010
2022,3190,2971,2877,2963,2834,2818,2720,2929,2786,2829,2827,2661
2023,2760,2803,2880,2778,2961,2906,2817,3157,3293,,,
