month_year,Year,Month,education_attainment,unemployment_level,unemployment_rate
1993-01,1993,January,Bachelor's Degree,901.0,3.1
1994-01,1994,January,Bachelor's Degree,860.0,2.9
1995-01,1995,January,Bachelor's Degree,718.0,2.4
1996-01,1996,January,Bachelor's Degree,755.0,2.4
1997-01,1997,January,Bachelor's Degree,682.0,2.1
1998-01,1998,January,Bachelor's Degree,632.0,1.9
1999-01,1999,January,Bachelor's Degree,621.0,1.8
2000-01,2000,January,Bachelor's Degree,656.0,1.8
2001-01,2001,January,Bachelor's Degree,582.0,1.6
2002-01,2002,January,Bachelor's Degree,1088.0,2.9
2003-01,2003,January,Bachelor's Degree,1176.0,3.0
2004-01,2004,January,Bachelor's Degree,1188.0,2.9
2005-01,2005,January,Bachelor's Degree,997.0,2.4
2006-01,2006,January,Bachelor's Degree,878.0,2.1
2007-01,2007,January,Bachelor's Degree,907.0,2.1
2008-01,2008,January,Bachelor's Degree,936.0,2.1
2009-01,2009,January,Bachelor's Degree,1772.0,3.9
2010-01,2010,January,Bachelor's Degree,2237.0,4.9
2011-01,2011,January,Bachelor's Degree,1979.0,4.3
2012-01,2012,January,Bachelor's Degree,2040.0,4.3
2013-01,2013,January,Bachelor's Degree,1869.0,3.8
2014-01,2014,January,Bachelor's Degree,1646.0,3.3
2015-01,2015,January,Bachelor's Degree,1458.0,2.8
2016-01,2016,January,Bachelor's Degree,1313.0,2.5
2017-01,2017,January,Bachelor's Degree,1340.0,2.5
2018-01,2018,January,Bachelor's Degree,1181.0,2.1
2019-01,2019,January,Bachelor's Degree,1383.0,2.4
2020-01,2020,January,Bachelor's Degree,1163.0,1.9
2021-01,2021,January,Bachelor's Degree,2413.0,4.0
2022-01,2022,January,Bachelor's Degree,1394.0,2.3
2023-01,2023,January,Bachelor's Degree,1263.0,2.0
1993-02,1993,February,Bachelor's Degree,908.0,3.2
1994-02,1994,February,Bachelor's Degree,830.0,2.8
1995-02,1995,February,Bachelor's Degree,717.0,2.3
1996-02,1996,February,Bachelor's Degree,743.0,2.3
1997-02,1997,February,Bachelor's Degree,671.0,2.1
1998-02,1998,February,Bachelor's Degree,626.0,1.9
1999-02,1999,February,Bachelor's Degree,669.0,1.9
2000-02,2000,February,Bachelor's Degree,601.0,1.6
2001-02,2001,February,Bachelor's Degree,581.0,1.6
2002-02,2002,February,Bachelor's Degree,1105.0,2.9
2003-02,2003,February,Bachelor's Degree,1177.0,3.0
2004-02,2004,February,Bachelor's Degree,1176.0,2.9
2005-02,2005,February,Bachelor's Degree,972.0,2.4
2006-02,2006,February,Bachelor's Degree,916.0,2.2
2007-02,2007,February,Bachelor's Degree,827.0,1.9
2008-02,2008,February,Bachelor's Degree,923.0,2.0
2009-02,2009,February,Bachelor's Degree,1866.0,4.1
2010-02,2010,February,Bachelor's Degree,2254.0,4.9
2011-02,2011,February,Bachelor's Degree,1999.0,4.3
2012-02,2012,February,Bachelor's Degree,2007.0,4.2
2013-02,2013,February,Bachelor's Degree,1901.0,3.9
2014-02,2014,February,Bachelor's Degree,1710.0,3.4
2015-02,2015,February,Bachelor's Degree,1408.0,2.7
2016-02,2016,February,Bachelor's Degree,1305.0,2.5
2017-02,2017,February,Bachelor's Degree,1299.0,2.4
2018-02,2018,February,Bachelor's Degree,1263.0,2.2
2019-02,2019,February,Bachelor's Degree,1259.0,2.2
2020-02,2020,February,Bachelor's Degree,1157.0,1.9
2021-02,2021,February,Bachelor's Degree,2323.0,3.8
2022-02,2022,February,Bachelor's Degree,1338.0,2.2
2023-02,2023,February,Bachelor's Degree,1282.0,2.0
1993-03,1993,March,Bachelor's Degree,908.0,3.2
1994-03,1994,March,Bachelor's Degree,819.0,2.8
1995-03,1995,March,Bachelor's Degree,784.0,2.5
1996-03,1996,March,Bachelor's Degree,703.0,2.2
1997-03,1997,March,Bachelor's Degree,671.0,2.0
1998-03,1998,March,Bachelor's Degree,626.0,1.8
1999-03,1999,March,Bachelor's Degree,660.0,1.9
2000-03,2000,March,Bachelor's Degree,605.0,1.7
2001-03,2001,March,Bachelor's Degree,751.0,2.0
2002-03,2002,March,Bachelor's Degree,1085.0,2.8
2003-03,2003,March,Bachelor's Degree,1211.0,3.1
2004-03,2004,March,Bachelor's Degree,1167.0,2.9
2005-03,2005,March,Bachelor's Degree,982.0,2.4
2006-03,2006,March,Bachelor's Degree,935.0,2.2
2007-03,2007,March,Bachelor's Degree,797.0,1.8
2008-03,2008,March,Bachelor's Degree,946.0,2.1
2009-03,2009,March,Bachelor's Degree,1966.0,4.3
2010-03,2010,March,Bachelor's Degree,2210.0,4.9
2011-03,2011,March,Bachelor's Degree,2060.0,4.4
2012-03,2012,March,Bachelor's Degree,1996.0,4.1
2013-03,2013,March,Bachelor's Degree,1851.0,3.8
2014-03,2014,March,Bachelor's Degree,1679.0,3.4
2015-03,2015,March,Bachelor's Degree,1225.0,2.4
2016-03,2016,March,Bachelor's Degree,1390.0,2.6
2017-03,2017,March,Bachelor's Degree,1350.0,2.5
2018-03,2018,March,Bachelor's Degree,1278.0,2.3
2019-03,2019,March,Bachelor's Degree,1225.0,2.1
2020-03,2020,March,Bachelor's Degree,1516.0,2.5
2021-03,2021,March,Bachelor's Degree,2265.0,3.7
2022-03,2022,March,Bachelor's Degree,1210.0,2.0
2023-03,2023,March,Bachelor's Degree,1278.0,2.0
1993-04,1993,April,Bachelor's Degree,918.0,3.2
1994-04,1994,April,Bachelor's Degree,752.0,2.5
1995-04,1995,April,Bachelor's Degree,842.0,2.7
1996-04,1996,April,Bachelor's Degree,742.0,2.3
1997-04,1997,April,Bachelor's Degree,657.0,2.0
1998-04,1998,April,Bachelor's Degree,561.0,1.7
1999-04,1999,April,Bachelor's Degree,714.0,2.0
2000-04,2000,April,Bachelor's Degree,547.0,1.5
2001-04,2001,April,Bachelor's Degree,791.0,2.1
2002-04,2002,April,Bachelor's Degree,1125.0,2.9
2003-04,2003,April,Bachelor's Degree,1201.0,3.0
2004-04,2004,April,Bachelor's Degree,1148.0,2.9
2005-04,2005,April,Bachelor's Degree,996.0,2.4
2006-04,2006,April,Bachelor's Degree,936.0,2.2
2007-04,2007,April,Bachelor's Degree,812.0,1.9
2008-04,2008,April,Bachelor's Degree,956.0,2.1
2009-04,2009,April,Bachelor's Degree,1994.0,4.4
2010-04,2010,April,Bachelor's Degree,2196.0,4.8
2011-04,2011,April,Bachelor's Degree,2101.0,4.5
2012-04,2012,April,Bachelor's Degree,1907.0,4.0
2013-04,2013,April,Bachelor's Degree,1916.0,3.9
2014-04,2014,April,Bachelor's Degree,1643.0,3.3
2015-04,2015,April,Bachelor's Degree,1404.0,2.7
2016-04,2016,April,Bachelor's Degree,1323.0,2.5
2017-04,2017,April,Bachelor's Degree,1350.0,2.5
2018-04,2018,April,Bachelor's Degree,1207.0,2.1
2019-04,2019,April,Bachelor's Degree,1220.0,2.1
2020-04,2020,April,Bachelor's Degree,5046.0,8.4
2021-04,2021,April,Bachelor's Degree,2152.0,3.5
2022-04,2022,April,Bachelor's Degree,1247.0,2.0
2023-04,2023,April,Bachelor's Degree,1241.0,1.9
1993-05,1993,May,Bachelor's Degree,858.0,3.0
1994-05,1994,May,Bachelor's Degree,767.0,2.5
1995-05,1995,May,Bachelor's Degree,763.0,2.5
1996-05,1996,May,Bachelor's Degree,750.0,2.3
1997-05,1997,May,Bachelor's Degree,720.0,2.2
1998-05,1998,May,Bachelor's Degree,575.0,1.7
1999-05,1999,May,Bachelor's Degree,666.0,1.9
2000-05,2000,May,Bachelor's Degree,593.0,1.6
2001-05,2001,May,Bachelor's Degree,782.0,2.1
2002-05,2002,May,Bachelor's Degree,1145.0,2.9
2003-05,2003,May,Bachelor's Degree,1197.0,3.0
2004-05,2004,May,Bachelor's Degree,1149.0,2.9
2005-05,2005,May,Bachelor's Degree,986.0,2.4
2006-05,2006,May,Bachelor's Degree,879.0,2.1
2007-05,2007,May,Bachelor's Degree,869.0,2.0
2008-05,2008,May,Bachelor's Degree,982.0,2.2
2009-05,2009,May,Bachelor's Degree,2169.0,4.8
2010-05,2010,May,Bachelor's Degree,2109.0,4.6
2011-05,2011,May,Bachelor's Degree,2125.0,4.5
2012-05,2012,May,Bachelor's Degree,1898.0,3.9
2013-05,2013,May,Bachelor's Degree,1907.0,3.9
2014-05,2014,May,Bachelor's Degree,1619.0,3.2
2015-05,2015,May,Bachelor's Degree,1462.0,2.8
2016-05,2016,May,Bachelor's Degree,1334.0,2.5
2017-05,2017,May,Bachelor's Degree,1280.0,2.3
2018-05,2018,May,Bachelor's Degree,1163.0,2.0
2019-05,2019,May,Bachelor's Degree,1262.0,2.2
2020-05,2020,May,Bachelor's Degree,4463.0,7.4
2021-05,2021,May,Bachelor's Degree,1906.0,3.1
2022-05,2022,May,Bachelor's Degree,1222.0,2.0
2023-05,2023,May,Bachelor's Degree,1322.0,2.1
1993-06,1993,June,Bachelor's Degree,852.0,2.9
1994-06,1994,June,Bachelor's Degree,762.0,2.6
1995-06,1995,June,Bachelor's Degree,807.0,2.6
1996-06,1996,June,Bachelor's Degree,697.0,2.2
1997-06,1997,June,Bachelor's Degree,673.0,2.0
1998-06,1998,June,Bachelor's Degree,590.0,1.7
1999-06,1999,June,Bachelor's Degree,715.0,2.0
2000-06,2000,June,Bachelor's Degree,575.0,1.6
2001-06,2001,June,Bachelor's Degree,810.0,2.2
2002-06,2002,June,Bachelor's Degree,1150.0,3.0
2003-06,2003,June,Bachelor's Degree,1235.0,3.1
2004-06,2004,June,Bachelor's Degree,1093.0,2.7
2005-06,2005,June,Bachelor's Degree,945.0,2.3
2006-06,2006,June,Bachelor's Degree,884.0,2.1
2007-06,2007,June,Bachelor's Degree,890.0,2.0
2008-06,2008,June,Bachelor's Degree,1062.0,2.4
2009-06,2009,June,Bachelor's Degree,2189.0,4.8
2010-06,2010,June,Bachelor's Degree,2038.0,4.4
2011-06,2011,June,Bachelor's Degree,2033.0,4.3
2012-06,2012,June,Bachelor's Degree,1939.0,4.0
2013-06,2013,June,Bachelor's Degree,1885.0,3.8
2014-06,2014,June,Bachelor's Degree,1639.0,3.3
2015-06,2015,June,Bachelor's Degree,1292.0,2.5
