month_year,Year,Month,education_attainment,civilian_labor_level,employment_level,employment_population_ratio,labor_force_participation_rate,unemployment_level,unemployment_rate,roc_unemployment_level,roc_unemployment_rate
1993-01,1993,January,Bachelor's Degree,28706,27805,78.3,80.9,901,3.1,,
1994-01,1994,January,Bachelor's Degree,29581,28721,78.8,81.1,860,2.9,-41,-0.2
1995-01,1995,January,Bachelor's Degree,30520,29802,79.2,81.1,718,2.4,-142,-0.5
1996-01,1996,January,Bachelor's Degree,31787,31032,78.6,80.5,755,2.4,37,0
1997-01,1997,January,Bachelor's Degree,32569,31887,78.8,80.5,682,2.1,-73,-0.3
1998-01,1998,January,Bachelor's Degree,33708,33075,78.8,80.3,632,1.9,-50,-0.2
1999-01,1999,January,Bachelor's Degree,34964,34343,78.9,80.3,621,1.8,-11,-0.1
2000-01,2000,January,Bachelor's Degree,36585,35929,78.7,80.1,656,1.8,35,0
2001-01,2001,January,Bachelor's Degree,37075,36494,78.4,79.6,582,1.6,-74,-0.2
2002-01,2002,January,Bachelor's Degree,37730,36641,76.7,79,1088,2.9,506,1.3
2003-01,2003,January,Bachelor's Degree,38797,37622,76.4,78.8,1176,3,88,0.1
2004-01,2004,January,Bachelor's Degree,40287,39099,75.8,78.1,1188,2.9,12,-0.1
2005-01,2005,January,Bachelor's Degree,40776,39779,76.3,78.2,997,2.4,-191,-0.5
2006-01,2006,January,Bachelor's Degree,41815,40937,76.6,78.2,878,2.1,-119,-0.3
2007-01,2007,January,Bachelor's Degree,43650,42743,76.7,78.3,907,2.1,29,0
2008-01,2008,January,Bachelor's Degree,44655,43719,76.5,78.1,936,2.1,29,0
2009-01,2009,January,Bachelor's Degree,45125,43353,74.6,77.6,1772,3.9,836,1.8
2010-01,2010,January,Bachelor's Degree,45901,43663,73.2,77,2237,4.9,465,1
2011-01,2011,January,Bachelor's Degree,46274,44294,73.1,76.4,1979,4.3,-258,-0.6
2012-01,2012,January,Bachelor's Degree,47480,45440,72.4,75.6,2040,4.3,61,0
2013-01,2013,January,Bachelor's Degree,48952,47083,72.8,75.7,1869,3.8,-171,-0.5
2014-01,2014,January,Bachelor's Degree,50382,48736,73.1,75.6,1646,3.3,-223,-0.5
2015-01,2015,January,Bachelor's Degree,51676,50218,72.5,74.6,1458,2.8,-188,-0.5
2016-01,2016,January,Bachelor's Degree,52801,51488,72.1,73.9,1313,2.5,-145,-0.3
2017-01,2017,January,Bachelor's Degree,54338,52998,72.1,73.9,1340,2.5,27,0
2018-01,2018,January,Bachelor's Degree,55849,54668,71.7,73.3,1181,2.1,-159,-0.4
2019-01,2019,January,Bachelor's Degree,58284,56901,72,73.7,1383,2.4,202,0.3
2020-01,2020,January,Bachelor's Degree,60169,59005,72.3,73.7,1163,1.9,-220,-0.5
2021-01,2021,January,Bachelor's Degree,60403,57990,69.3,72.2,2413,4,1250,2.1
2022-01,2022,January,Bachelor's Degree,61737,60343,71,72.6,1394,2.3,-1019,-1.7
2023-01,2023,January,Bachelor's Degree,62854,61591,71.2,72.7,1263,2,-131,-0.3
1993-02,1993,February,Bachelor's Degree,28753,27845,78.3,80.9,908,3.2,-355,1.2
1994-02,1994,February,Bachelor's Degree,29531,28701,78.5,80.7,830,2.8,-78,-0.4
1995-02,1995,February,Bachelor's Degree,30832,30115,78.8,80.7,717,2.3,-113,-0.5
1996-02,1996,February,Bachelor's Degree,31904,31161,78.5,80.4,743,2.3,26,0
1997-02,1997,February,Bachelor's Degree,32646,31975,78.6,80.2,671,2.1,-72,-0.2
1998-02,1998,February,Bachelor's Degree,33723,33098,78.4,79.8,626,1.9,-45,-0.2
1999-02,1999,February,Bachelor's Degree,34987,34318,78.1,79.6,669,1.9,43,0
2000-02,2000,February,Bachelor's Degree,36501,35900,78.2,79.5,601,1.6,-68,-0.3
2001-02,2001,February,Bachelor's Degree,37032,36452,77.6,78.8,581,1.6,-20,0
2002-02,2002,February,Bachelor's Degree,38372,37267,76.9,79.2,1105,2.9,524,1.3
2003-02,2003,February,Bachelor's Degree,39242,38065,76.2,78.6,1177,3,72,0.1
2004-02,2004,February,Bachelor's Degree,40074,38898,75.8,78,1176,2.9,-1,-0.1
2005-02,2005,February,Bachelor's Degree,40611,39639,76.3,78.2,972,2.4,-204,-0.5
2006-02,2006,February,Bachelor's Degree,41725,40808,76.6,78.3,916,2.2,-56,-0.2
2007-02,2007,February,Bachelor's Degree,43794,42967,77.2,78.7,827,1.9,-89,-0.3
2008-02,2008,February,Bachelor's Degree,45403,44480,76.8,78.4,923,2,96,0.1
2009-02,2009,February,Bachelor's Degree,45118,43252,74.6,77.8,1866,4.1,943,2.1
2010-02,2010,February,Bachelor's Degree,45584,43330,73,76.8,2254,4.9,388,0.8
2011-02,2011,February,Bachelor's Degree,46441,44441,73.3,76.6,1999,4.3,-255,-0.6
2012-02,2012,February,Bachelor's Degree,47664,45657,72.8,76,2007,4.2,8,-0.1
2013-02,2013,February,Bachelor's Degree,49210,47309,72.6,75.5,1901,3.9,-106,-0.3
2014-02,2014,February,Bachelor's Degree,50122,48412,72.4,75,1710,3.4,-191,-0.5
2015-02,2015,February,Bachelor's Degree,51484,50076,72.2,74.2,1408,2.7,-302,-0.7
2016-02,2016,February,Bachelor's Degree,53075,51769,72,73.8,1305,2.5,-103,-0.2
2017-02,2017,February,Bachelor's Degree,54746,53448,71.7,73.4,1299,2.4,-6,-0.1
2018-02,2018,February,Bachelor's Degree,56671,55408,72,73.7,1263,2.2,-36,-0.2
2019-02,2019,February,Bachelor's Degree,58502,57242,72,73.5,1259,2.2,-4,0
2020-02,2020,February,Bachelor's Degree,59913,58756,71.7,73.1,1157,1.9,-102,-0.3
2021-02,2021,February,Bachelor's Degree,60748,58425,69.1,71.8,2323,3.8,1166,1.9
2022-02,2022,February,Bachelor's Degree,62017,60679,70.9,72.5,1338,2.2,-985,-1.6
2023-02,2023,February,Bachelor's Degree,63140,61858,70.9,72.3,1282,2,-56,-0.2
