yearAndMonth,Year,Month,Unemployment(in thousands)
1969-01,1969,Jan,993
1969-02,1969,Feb,992
1969-03,1969,Mar,981
1969-04,1969,Apr,1029
1969-05,1969,May,979
1969-06,1969,Jun,1038
1969-07,1969,Jul,979
1969-08,1969,Aug,1043
1969-09,1969,Sep,1068
1969-10,1969,Oct,1074
1969-11,1969,Nov,1013
1969-12,1969,Dec,977
1970-01,1970,Jan,1046
1970-02,1970,Feb,1160
1970-03,1970,Mar,1284
1970-04,1970,Apr,1243
1970-05,1970,May,1344
1970-06,1970,Jun,1290
1970-07,1970,Jul,1380
1970-08,1970,Aug,1364
1970-09,1970,Sep,1435
1970-10,1970,Oct,1473
1970-11,1970,Nov,1596
1970-12,1970,Dec,1625
1971-01,1971,Jan,1637
1971-02,1971,Feb,1629
1971-03,1971,Mar,1687
1971-04,1971,Apr,1700
1971-05,1971,May,1662
1971-06,1971,Jun,1623
1971-07,1971,Jul,1610
1971-08,1971,Aug,1694
1971-09,1971,Sep,1657
1971-10,1971,Oct,1650
1971-11,1971,Nov,1701
1971-12,1971,Dec,1674
1972-01,1972,Jan,1624
1972-02,1972,Feb,1506
1972-03,1972,Mar,1625
1972-04,1972,Apr,1619
1972-05,1972,May,1698
1972-06,1972,Jun,1666
1972-07,1972,Jul,1702
1972-08,1972,Aug,1684
1972-09,1972,Sep,1657
1972-10,1972,Oct,1689
1972-11,1972,Nov,1523
1972-12,1972,Dec,1512
1973-01,1973,Jan,1552
1973-02,1973,Feb,1492
1973-03,1973,Mar,1498
1973-04,1973,Apr,1480
1973-05,1973,May,1403
1973-06,1973,Jun,1541
1973-07,1973,Jul,1532
1973-08,1973,Aug,1546
1973-09,1973,Sep,1539
1973-10,1973,Oct,1416
1973-11,1973,Nov,1518
1973-12,1973,Dec,1573
1974-01,1974,Jan,1598
1974-02,1974,Feb,1600
1974-03,1974,Mar,1581
1974-04,1974,Apr,1579
1974-05,1974,May,1618
1974-06,1974,Jun,1670
1974-07,1974,Jul,1733
1974-08,1974,Aug,1764
1974-09,1974,Sep,1918
1974-10,1974,Oct,1846
1974-11,1974,Nov,2166
1974-12,1974,Dec,2295
1975-01,1975,Jan,2629
1975-02,1975,Feb,2595
1975-03,1975,Mar,2742
1975-04,1975,Apr,2831
1975-05,1975,May,2838
1975-06,1975,Jun,2753
1975-07,1975,Jul,2679
1975-08,1975,Aug,2643
1975-09,1975,Sep,2600
1975-10,1975,Oct,2657
1975-11,1975,Nov,2624
1975-12,1975,Dec,2638
1976-01,1976,Jan,2619
1976-02,1976,Feb,2575
1976-03,1976,Mar,2518
1976-04,1976,Apr,2545
1976-05,1976,May,2384
1976-06,1976,Jun,2498
1976-07,1976,Jul,2673
1976-08,1976,Aug,2673
1976-09,1976,Sep,2635
1976-10,1976,Oct,2638
1976-11,1976,Nov,2644
1976-12,1976,Dec,2597
1977-01,1977,Jan,2527
1977-02,1977,Feb,2616
1977-03,1977,Mar,2642
1977-04,1977,Apr,2562
1977-05,1977,May,2408
1977-06,1977,Jun,2577
1977-07,1977,Jul,2492
1977-08,1977,Aug,2542
1977-09,1977,Sep,2538
1977-10,1977,Oct,2462
1977-11,1977,Nov,2589
1977-12,1977,Dec,2416
1978-01,1978,Jan,2375
1978-02,1978,Feb,2210
1978-03,1978,Mar,2238
1978-04,1978,Apr,2263
1978-05,1978,May,2283
1978-06,1978,Jun,2322
1978-07,1978,Jul,2464
1978-08,1978,Aug,2295
1978-09,1978,Sep,2308
1978-10,1978,Oct,2158
1978-11,1978,Nov,2281
1978-12,1978,Dec,2278
1979-01,1979,Jan,2262
1979-02,1979,Feb,2312
1979-03,1979,Mar,2289
1979-04,1979,Apr,2238
1979-05,1979,May,2189
1979-06,1979,Jun,2251
1979-07,1979,Jul,2196
1979-08,1979,Aug,2406
1979-09,1979,Sep,2254
1979-10,1979,Oct,2300
1979-11,1979,Nov,2264
1979-12,1979,Dec,2319
1980-01,1980,Jan,2380
1980-02,1980,Feb,2395
1980-03,1980,Mar,2341
1980-04,1980,Apr,2565
1980-05,1980,May,2624
1980-06,1980,Jun,2656
1980-07,1980,Jul,2733
1980-08,1980,Aug,2762
1980-09,1980,Sep,2601
1980-10,1980,Oct,2788
1980-11,1980,Nov,2767
1980-12,1980,Dec,2775
1981-01,1981,Jan,2824
1981-02,1981,Feb,2777
1981-03,1981,Mar,2770
1981-04,1981,Apr,2772
1981-05,1981,May,2844
1981-06,1981,Jun,2832
1981-07,1981,Jul,2855
1981-08,1981,Aug,2834
1981-09,1981,Sep,2942
1981-10,1981,Oct,3029
1981-11,1981,Nov,3115
1981-12,1981,Dec,3173
1982-01,1982,Jan,3131
1982-02,1982,Feb,3304
1982-03,1982,Mar,3403
1982-04,1982,Apr,3544
1982-05,1982,May,3555
1982-06,1982,Jun,3564
1982-07,1982,Jul,3655
1982-08,1982,Aug,3627
1982-09,1982,Sep,3681
1982-10,1982,Oct,3805
1982-11,1982,Nov,4029
1982-12,1982,Dec,4122
1983-01,1983,Jan,3987
1983-02,1983,Feb,3948
1983-03,1983,Mar,3876
1983-04,1983,Apr,3735
1983-05,1983,May,3721
1983-06,1983,Jun,3874
1983-07,1983,Jul,3503
1983-08,1983,Aug,3539
