yearAndMonth,Year,Month,Unemployment(in percentage)
1969-01,1969,Jan,3.7
1969-02,1969,Feb,3.7
1969-03,1969,Mar,3.6
1969-04,1969,Apr,3.8
1969-05,1969,May,3.6
1969-06,1969,Jun,3.8
1969-07,1969,Jul,3.6
1969-08,1969,Aug,3.8
1969-09,1969,Sep,3.9
1969-10,1969,Oct,3.9
1969-11,1969,Nov,3.7
1969-12,1969,Dec,3.5
1970-01,1970,Jan,3.7
1970-02,1970,Feb,4.1
1970-03,1970,Mar,4.6
1970-04,1970,Apr,4.4
1970-05,1970,May,4.8
1970-06,1970,Jun,4.6
1970-07,1970,Jul,4.8
1970-08,1970,Aug,4.8
1970-09,1970,Sep,5.1
1970-10,1970,Oct,5.2
1970-11,1970,Nov,5.6
1970-12,1970,Dec,5.7
1971-01,1971,Jan,5.7
1971-02,1971,Feb,5.7
1971-03,1971,Mar,5.9
1971-04,1971,Apr,5.9
1971-05,1971,May,5.8
1971-06,1971,Jun,5.7
1971-07,1971,Jul,5.6
1971-08,1971,Aug,5.9
1971-09,1971,Sep,5.7
1971-10,1971,Oct,5.7
1971-11,1971,Nov,5.8
1971-12,1971,Dec,5.7
1972-01,1972,Jan,5.5
1972-02,1972,Feb,5.1
1972-03,1972,Mar,5.5
1972-04,1972,Apr,5.4
1972-05,1972,May,5.7
1972-06,1972,Jun,5.6
1972-07,1972,Jul,5.7
1972-08,1972,Aug,5.6
1972-09,1972,Sep,5.5
1972-10,1972,Oct,5.6
1972-11,1972,Nov,5.1
1972-12,1972,Dec,5.0
1973-01,1973,Jan,5.1
1973-02,1973,Feb,4.9
1973-03,1973,Mar,4.9
1973-04,1973,Apr,4.8
1973-05,1973,May,4.6
1973-06,1973,Jun,5.0
1973-07,1973,Jul,4.9
1973-08,1973,Aug,5.0
1973-09,1973,Sep,4.9
1973-10,1973,Oct,4.5
1973-11,1973,Nov,4.8
1973-12,1973,Dec,5.0
1974-01,1974,Jan,5.1
1974-02,1974,Feb,5.0
1974-03,1974,Mar,5.0
1974-04,1974,Apr,4.9
1974-05,1974,May,5.0
1974-06,1974,Jun,5.2
1974-07,1974,Jul,5.3
1974-08,1974,Aug,5.4
1974-09,1974,Sep,5.9
1974-10,1974,Oct,5.7
1974-11,1974,Nov,6.6
1974-12,1974,Dec,7.0
1975-01,1975,Jan,8.0
1975-02,1975,Feb,7.9
1975-03,1975,Mar,8.3
1975-04,1975,Apr,8.5
1975-05,1975,May,8.5
1975-06,1975,Jun,8.2
1975-07,1975,Jul,8.0
1975-08,1975,Aug,7.9
1975-09,1975,Sep,7.7
1975-10,1975,Oct,7.9
1975-11,1975,Nov,7.8
1975-12,1975,Dec,7.8
1976-01,1976,Jan,7.7
1976-02,1976,Feb,7.5
1976-03,1976,Mar,7.3
1976-04,1976,Apr,7.4
1976-05,1976,May,6.9
1976-06,1976,Jun,7.2
1976-07,1976,Jul,7.6
1976-08,1976,Aug,7.6
1976-09,1976,Sep,7.5
1976-10,1976,Oct,7.5
1976-11,1976,Nov,7.5
1976-12,1976,Dec,7.3
1977-01,1977,Jan,7.1
1977-02,1977,Feb,7.3
1977-03,1977,Mar,7.4
1977-04,1977,Apr,7.1
1977-05,1977,May,6.6
1977-06,1977,Jun,7.1
1977-07,1977,Jul,6.9
1977-08,1977,Aug,7.0
1977-09,1977,Sep,6.9
1977-10,1977,Oct,6.7
1977-11,1977,Nov,7.0
1977-12,1977,Dec,6.5
1978-01,1978,Jan,6.4
1978-02,1978,Feb,5.9
1978-03,1978,Mar,6.0
1978-04,1978,Apr,6.0
1978-05,1978,May,6.0
1978-06,1978,Jun,6.1
1978-07,1978,Jul,6.4
1978-08,1978,Aug,6.0
1978-09,1978,Sep,6.0
1978-10,1978,Oct,5.6
1978-11,1978,Nov,5.9
1978-12,1978,Dec,5.8
1979-01,1979,Jan,5.8
1979-02,1979,Feb,5.9
1979-03,1979,Mar,5.8
1979-04,1979,Apr,5.7
1979-05,1979,May,5.6
1979-06,1979,Jun,5.7
1979-07,1979,Jul,5.5
1979-08,1979,Aug,6.0
1979-09,1979,Sep,5.6
1979-10,1979,Oct,5.7
1979-11,1979,Nov,5.6
1979-12,1979,Dec,5.7
1980-01,1980,Jan,5.8
1980-02,1980,Feb,5.9
1980-03,1980,Mar,5.7
1980-04,1980,Apr,6.3
1980-05,1980,May,6.4
1980-06,1980,Jun,6.5
1980-07,1980,Jul,6.6
1980-08,1980,Aug,6.7
1980-09,1980,Sep,6.3
1980-10,1980,Oct,6.7
1980-11,1980,Nov,6.7
1980-12,1980,Dec,6.7
1981-01,1981,Jan,6.7
1981-02,1981,Feb,6.6
1981-03,1981,Mar,6.6
1981-04,1981,Apr,6.5
1981-05,1981,May,6.7
1981-06,1981,Jun,6.7
1981-07,1981,Jul,6.7
1981-08,1981,Aug,6.7
1981-09,1981,Sep,7.0
1981-10,1981,Oct,7.1
1981-11,1981,Nov,7.2
1981-12,1981,Dec,7.4
1982-01,1982,Jan,7.3
1982-02,1982,Feb,7.7
1982-03,1982,Mar,7.9
1982-04,1982,Apr,8.2
1982-05,1982,May,8.1
1982-06,1982,Jun,8.1
1982-07,1982,Jul,8.3
1982-08,1982,Aug,8.3
1982-09,1982,Sep,8.4
1982-10,1982,Oct,8.7
1982-11,1982,Nov,9.1
1982-12,1982,Dec,9.3
1983-01,1983,Jan,9.0
1983-02,1983,Feb,8.9
1983-03,1983,Mar,8.8
1983-04,1983,Apr,8.4
1983-05,1983,May,8.4
1983-06,1983,Jun,8.7
1983-07,1983,Jul,7.9
1983-08,1983,Aug,7.9
1983-09,1983,Sep,7.7
1983-10,1983,Oct,7.5
1983-11,1983,Nov,7.2
1983-12,1983,Dec,7.3
1984-01,1984,Jan,7.1
1984-02,1984,Feb,6.9
1984-03,1984,Mar,6.9
1984-04,1984,Apr,6.9
1984-05,1984,May,6.7
1984-06,1984,Jun,6.5
1984-07,1984,Jul,6.8
1984-08,1984,Aug,6.9
1984-09,1984,Sep,6.5
1984-10,1984,Oct,6.9
1984-11,1984,Nov,6.6
1984-12,1984,Dec,6.6
1985-01,1985,Jan,6.7
1985-02,1985,Feb,6.6
1985-03,1985,Mar,6.7
1985-04,1985,Apr,6.8
1985-05,1985,May,6.8
1985-06,1985,Jun,6.7
1985-07,1985,Jul,6.7
