yearAndMonth,Year,Month,Unemployment(in thousands)
1969-01,1969,Jan,45154
1969-02,1969,Feb,45339
1969-03,1969,Mar,45305
1969-04,1969,Apr,45262
1969-05,1969,May,45278
1969-06,1969,Jun,45313
1969-07,1969,Jul,45305
1969-08,1969,Aug,45513
1969-09,1969,Sep,45447
1969-10,1969,Oct,45488
1969-11,1969,Nov,45505
1969-12,1969,Dec,45577
1970-01,1970,Jan,45654
1970-02,1970,Feb,45627
1970-03,1970,Mar,45668
1970-04,1970,Apr,45679
1970-05,1970,May,45666
1970-06,1970,Jun,45554
1970-07,1970,Jul,45516
1970-08,1970,Aug,45495
1970-09,1970,Sep,45535
1970-10,1970,Oct,45508
1970-11,1970,Nov,45540
1970-12,1970,Dec,45466
1971-01,1971,Jan,45527
1971-02,1971,Feb,45455
1971-03,1971,Mar,45520
1971-04,1971,Apr,45789
1971-05,1971,May,45917
1971-06,1971,Jun,45879
1971-07,1971,Jul,46000
1971-08,1971,Aug,46041
1971-09,1971,Sep,46090
1971-10,1971,Oct,46132
1971-11,1971,Nov,46209
1971-12,1971,Dec,46280
1972-01,1972,Jan,46471
1972-02,1972,Feb,46600
1972-03,1972,Mar,46821
1972-04,1972,Apr,46863
1972-05,1972,May,46950
1972-06,1972,Jun,47147
1972-07,1972,Jul,47244
1972-08,1972,Aug,47321
1972-09,1972,Sep,47394
1972-10,1972,Oct,47354
1972-11,1972,Nov,47529
1972-12,1972,Dec,47747
1973-01,1973,Jan,47701
1973-02,1973,Feb,47884
1973-03,1973,Mar,48117
1973-04,1973,Apr,48098
1973-05,1973,May,48068
1973-06,1973,Jun,48244
1973-07,1973,Jul,48452
1973-08,1973,Aug,48353
1973-09,1973,Sep,48408
1973-10,1973,Oct,48631
1973-11,1973,Nov,48764
1973-12,1973,Dec,48902
1974-01,1974,Jan,49107
1974-02,1974,Feb,49057
1974-03,1974,Mar,48986
1974-04,1974,Apr,48853
1974-05,1974,May,49039
1974-06,1974,Jun,48946
1974-07,1974,Jul,48883
1974-08,1974,Aug,48950
1974-09,1974,Sep,48978
1974-10,1974,Oct,48959
1974-11,1974,Nov,48833
1974-12,1974,Dec,48458
1975-01,1975,Jan,48086
1975-02,1975,Feb,47927
1975-03,1975,Mar,47776
1975-04,1975,Apr,47759
1975-05,1975,May,47835
1975-06,1975,Jun,47754
1975-07,1975,Jul,48050
1975-08,1975,Aug,48239
1975-09,1975,Sep,48126
1975-10,1975,Oct,48165
1975-11,1975,Nov,48203
1975-12,1975,Dec,48266
1976-01,1976,Jan,48592
1976-02,1976,Feb,48721
1976-03,1976,Mar,48836
1976-04,1976,Apr,49097
1976-05,1976,May,49193
1976-06,1976,Jun,49010
1976-07,1976,Jul,49236
1976-08,1976,Aug,49417
1976-09,1976,Sep,49485
1976-10,1976,Oct,49524
1976-11,1976,Nov,49561
1976-12,1976,Dec,49599
1977-01,1977,Jan,49738
1977-02,1977,Feb,49838
1977-03,1977,Mar,50031
1977-04,1977,Apr,50185
1977-05,1977,May,50280
1977-06,1977,Jun,50544
1977-07,1977,Jul,50597
1977-08,1977,Aug,50745
1977-09,1977,Sep,50825
1977-10,1977,Oct,51046
1977-11,1977,Nov,51316
1977-12,1977,Dec,51492
1978-01,1978,Jan,51542
1978-02,1978,Feb,51578
1978-03,1978,Mar,51635
1978-04,1978,Apr,51912
1978-05,1978,May,52050
1978-06,1978,Jun,52240
1978-07,1978,Jul,52190
1978-08,1978,Aug,52228
1978-09,1978,Sep,52284
1978-10,1978,Oct,52448
1978-11,1978,Nov,52802
1978-12,1978,Dec,52807
1979-01,1979,Jan,53072
1979-02,1979,Feb,53233
1979-03,1979,Mar,53120
1979-04,1979,Apr,53085
1979-05,1979,May,53178
1979-06,1979,Jun,53309
1979-07,1979,Jul,53384
1979-08,1979,Aug,53336
1979-09,1979,Sep,53510
1979-10,1979,Oct,53478
1979-11,1979,Nov,53435
1979-12,1979,Dec,53555
1980-01,1980,Jan,53501
1980-02,1980,Feb,53686
1980-03,1980,Mar,53353
1980-04,1980,Apr,53035
1980-05,1980,May,52915
1980-06,1980,Jun,52712
1980-07,1980,Jul,52733
1980-08,1980,Aug,52815
1980-09,1980,Sep,52866
1980-10,1980,Oct,53094
1980-11,1980,Nov,53210
1980-12,1980,Dec,53333
1981-01,1981,Jan,53392
1981-02,1981,Feb,53445
1981-03,1981,Mar,53662
1981-04,1981,Apr,53886
1981-05,1981,May,53879
1981-06,1981,Jun,53576
1981-07,1981,Jul,53814
1981-08,1981,Aug,53718
1981-09,1981,Sep,53625
1981-10,1981,Oct,53482
1981-11,1981,Nov,53335
1981-12,1981,Dec,53149
1982-01,1982,Jan,53103
1982-02,1982,Feb,53172
1982-03,1982,Mar,53054
1982-04,1982,Apr,53081
1982-05,1982,May,53234
1982-06,1982,Jun,52933
1982-07,1982,Jul,52896
1982-08,1982,Aug,52797
1982-09,1982,Sep,52760
1982-10,1982,Oct,52624
1982-11,1982,Nov,52537
1982-12,1982,Dec,52497
1983-01,1983,Jan,52487
1983-02,1983,Feb,52453
1983-03,1983,Mar,52615
1983-04,1983,Apr,52814
1983-05,1983,May,52922
1983-06,1983,Jun,53515
1983-07,1983,Jul,53835
1983-08,1983,Aug,53837
1983-09,1983,Sep,53983
1983-10,1983,Oct,54146
1983-11,1983,Nov,54499
1983-12,1983,Dec,54662
1984-01,1984,Jan,54975
1984-02,1984,Feb,55213
1984-03,1984,Mar,55281
1984-04,1984,Apr,55373
1984-05,1984,May,55661
1984-06,1984,Jun,55996
1984-07,1984,Jul,55921
1984-08,1984,Aug,55930
1984-09,1984,Sep,56095
1984-10,1984,Oct,56183
1984-11,1984,Nov,56274
1984-12,1984,Dec,56313
1985-01,1985,Jan,56184
1985-02,1985,Feb,56216
1985-03,1985,Mar,56356
1985-04,1985,Apr,56374
1985-05,1985,May,56531
1985-06,1985,Jun,56288
1985-07,1985,Jul,56435
1985-08,1985,Aug,56655
1985-09,1985,Sep,56845
1985-10,1985,Oct,56969
1985-11,1985,Nov,56972
1985-12,1985,Dec,56995
1986-01,1986,Jan,57637
1986-02,1986,Feb,57269
1986-03,1986,Mar,57353
1986-04,1986,Apr,57358
1986-05,1986,May,57287
1986-06,1986,Jun,57471
1986-07,1986,Jul,57514
1986-08,1986,Aug,57597
1986-09,1986,Sep,57630
1986-10,1986,Oct,57660
1986-11,1986,Nov,57941
1986-12,1986,Dec,58185
1987-01,1987,Jan,58264
1987-02,1987,Feb,58279
1987-03,1987,Mar,58362
1987-04,1987,Apr,58503
1987-05,1987,May,58713
1987-06,1987,Jun,58581
1987-07,1987,Jul,58740
1987-08,1987,Aug,58810
1987-09,1987,Sep,58964
1987-10,1987,Oct,59073
1987-11,1987,Nov,59210
1987-12,1987,Dec,59217
1988-01,1988,Jan,59346
1988-02,1988,Feb,59535
1988-03,1988,Mar,59393
1988-04,1988,Apr,59832
1988-05,1988,May,59644
1988-06,1988,Jun,59751
1988-07,1988,Jul,59888
1988-08,1988,Aug,59877
1988-09,1988,Sep,59980
1988-10,1988,Oct,60023
1988-11,1988,Nov,60042
1988-12,1988,Dec,60059
1989-01,1989,Jan,60477
1989-02,1989,Feb,60588
1989-03,1989,Mar,60795
1989-04,1989,Apr,60764
1989-05,1989,May,60795
1989-06,1989,Jun,61054
1989-07,1989,Jul,60947
1989-08,1989,Aug,60915
1989-09,1989,Sep,60668
1989-10,1989,Oct,60958
1989-11,1989,Nov,60958
1989-12,1989,Dec,61068
1990-01,1990,Jan,61742
1990-02,1990,Feb,61805
1990-03,1990,Mar,61832
1990-04,1990,Apr,61579
1990-05,1990,May,61778
1990-06,1990,Jun,61762
1990-07,1990,Jul,61683
1990-08,1990,Aug,61715
1990-09,1990,Sep,61608
1990-10,1990,Oct,61606
1990-11,1990,Nov,61545
1990-12,1990,Dec,61506
1991-01,1991,Jan,61383
1991-02,1991,Feb,61117
1991-03,1991,Mar,61144
1991-04,1991,Apr,61280
1991-05,1991,May,61052
1991-06,1991,Jun,61147
1991-07,1991,Jul,61179
1991-08,1991,Aug,61122
1991-09,1991,Sep,61279
1991-10,1991,Oct,61174
1991-11,1991,Nov,61201
1991-12,1991,Dec,61074
1992-01,1992,Jan,61116
1992-02,1992,Feb,61062
1992-03,1992,Mar,61363
1992-04,1992,Apr,61468
1992-05,1992,May,61513
1992-06,1992,Jun,61537
1992-07,1992,Jul,61641
1992-08,1992,Aug,61681
1992-09,1992,Sep,61663
1992-10,1992,Oct,61550
1992-11,1992,Nov,61644
1992-12,1992,Dec,61721
1993-01,1993,Jan,61895
1993-02,1993,Feb,61963
1993-03,1993,Mar,62007
1993-04,1993,Apr,62032
1993-05,1993,May,62309
1993-06,1993,Jun,62409
1993-07,1993,Jul,62497
1993-08,1993,Aug,62634
1993-09,1993,Sep,62437
1993-10,1993,Oct,62614
1993-11,1993,Nov,62732
1993-12,1993,Dec,62760
1994-01,1994,Jan,62798
1994-02,1994,Feb,62708
1994-03,1994,Mar,62780
1994-04,1994,Apr,62906
1994-05,1994,May,63116
1994-06,1994,Jun,63041
1994-07,1994,Jul,63034
1994-08,1994,Aug,63294
1994-09,1994,Sep,63631
1994-10,1994,Oct,63818
1994-11,1994,Nov,64080
1994-12,1994,Dec,64359
1995-01,1995,Jan,64185
1995-02,1995,Feb,64378
1995-03,1995,Mar,64321
1995-04,1995,Apr,64165
1995-05,1995,May,63829
1995-06,1995,Jun,63992
1995-07,1995,Jul,63962
1995-08,1995,Aug,63875
1995-09,1995,Sep,64179
1995-10,1995,Oct,64272
1995-11,1995,Nov,63931
1995-12,1995,Dec,64041
1996-01,1996,Jan,64180
1996-02,1996,Feb,64398
1996-03,1996,Mar,64506
1996-04,1996,Apr,64481
1996-05,1996,May,64683
1996-06,1996,Jun,64940
1996-07,1996,Jul,65068
1996-08,1996,Aug,65216
1996-09,1996,Sep,65169
1996-10,1996,Oct,65460
1996-11,1996,Nov,65320
1996-12,1996,Dec,65435
1997-01,1997,Jan,65679
1997-02,1997,Feb,65758
1997-03,1997,Mar,65974
1997-04,1997,Apr,66092
1997-05,1997,May,66328
1997-06,1997,Jun,66308
1997-07,1997,Jul,66422
1997-08,1997,Aug,66508
1997-09,1997,Sep,66483
1997-10,1997,Oct,66511
1997-11,1997,Nov,66765
1997-12,1997,Dec,66643
1998-01,1998,Jan,66750
1998-02,1998,Feb,66856
1998-03,1998,Mar,66721
1998-04,1998,Apr,67151
1998-05,1998,May,67164
1998-06,1998,Jun,67054
1998-07,1998,Jul,67119
1998-08,1998,Aug,66985
1998-09,1998,Sep,67254
1998-10,1998,Oct,67433
1998-11,1998,Nov,67591
1998-12,1998,Dec,67548
1999-01,1999,Jan,67679
1999-02,1999,Feb,67498
1999-03,1999,Mar,67660
1999-04,1999,Apr,67542
1999-05,1999,May,67539
1999-06,1999,Jun,67700
1999-07,1999,Jul,67731
1999-08,1999,Aug,67768
1999-09,1999,Sep,67882
1999-10,1999,Oct,67840
1999-11,1999,Nov,68094
1999-12,1999,Dec,68217
2000-01,2000,Jan,69419
2000-02,2000,Feb,69505
2000-03,2000,Mar,69482
2000-04,2000,Apr,69519
2000-05,2000,May,69399
2000-06,2000,Jun,69629
2000-07,2000,Jul,69525
2000-08,2000,Aug,69823
2000-09,2000,Sep,69700
2000-10,2000,Oct,69762
2000-11,2000,Nov,69910
2000-12,2000,Dec,69939
2001-01,2001,Jan,70064
2001-02,2001,Feb,69959
2001-03,2001,Mar,69881
2001-04,2001,Apr,69916
2001-05,2001,May,69865
2001-06,2001,Jun,69690
2001-07,2001,Jul,69808
2001-08,2001,Aug,69585
2001-09,2001,Sep,69933
2001-10,2001,Oct,69621
2001-11,2001,Nov,69444
2001-12,2001,Dec,69551
2002-01,2002,Jan,69308
2002-02,2002,Feb,69534
2002-03,2002,Mar,69480
2002-04,2002,Apr,69574
2002-05,2002,May,69981
2002-06,2002,Jun,69769
2002-07,2002,Jul,69806
2002-08,2002,Aug,69937
2002-09,2002,Sep,70207
2002-10,2002,Oct,69948
2002-11,2002,Nov,69615
2002-12,2002,Dec,69620
2003-01,2003,Jan,69919
2003-02,2003,Feb,70262
2003-03,2003,Mar,70243
2003-04,2003,Apr,70311
2003-05,2003,May,70215
2003-06,2003,Jun,70159
2003-07,2003,Jul,70190
2003-08,2003,Aug,70237
2003-09,2003,Sep,70631
2003-10,2003,Oct,70685
2003-11,2003,Nov,70935
2003-12,2003,Dec,71170
2004-01,2004,Jan,71318
2004-02,2004,Feb,71122
2004-03,2004,Mar,71155
2004-04,2004,Apr,71121
2004-05,2004,May,71180
2004-06,2004,Jun,71562
2004-07,2004,Jul,71780
2004-08,2004,Aug,71808
2004-09,2004,Sep,71744
2004-10,2004,Oct,71860
2004-11,2004,Nov,72110
2004-12,2004,Dec,72058
2005-01,2005,Jan,72063
2005-02,2005,Feb,72299
2005-03,2005,Mar,72478
2005-04,2005,Apr,72860
2005-05,2005,May,73133
2005-06,2005,Jun,73223
2005-07,2005,Jul,73337
2005-08,2005,Aug,73513
2005-09,2005,Sep,73333
2005-10,2005,Oct,73445
2005-11,2005,Nov,73341
2005-12,2005,Dec,73467
2006-01,2006,Jan,73892
2006-02,2006,Feb,73972
2006-03,2006,Mar,74228
2006-04,2006,Apr,74204
2006-05,2006,May,74229
2006-06,2006,Jun,74261
2006-07,2006,Jul,74011
2006-08,2006,Aug,74384
2006-09,2006,Sep,74866
2006-10,2006,Oct,74833
2006-11,2006,Nov,74962
2006-12,2006,Dec,75232
2007-01,2007,Jan,75238
2007-02,2007,Feb,75239
2007-03,2007,Mar,75386
2007-04,2007,Apr,75342
