yearAndMonth,Year,Month,Unemployment(in thousands)
1976-01,1976,Jan,13181
1976-02,1976,Feb,13260
1976-03,1976,Mar,13281
1976-04,1976,Apr,13126
1976-05,1976,May,13169
1976-06,1976,Jun,13267
1976-07,1976,Jul,13183
1976-08,1976,Aug,13208
1976-09,1976,Sep,13231
1976-10,1976,Oct,13307
1976-11,1976,Nov,13214
1976-12,1976,Dec,13337
1977-01,1977,Jan,13498
1977-02,1977,Feb,13409
1977-03,1977,Mar,13504
1977-04,1977,Apr,13579
1977-05,1977,May,13599
1977-06,1977,Jun,13537
1977-07,1977,Jul,13674
1977-08,1977,Aug,13621
1977-09,1977,Sep,13849
1977-10,1977,Oct,13596
1977-11,1977,Nov,13526
1977-12,1977,Dec,13540
1978-01,1978,Jan,13575
1978-02,1978,Feb,13688
1978-03,1978,Mar,13745
1978-04,1978,Apr,13712
1978-05,1978,May,13735
1978-06,1978,Jun,13768
1978-07,1978,Jul,13896
1978-08,1978,Aug,13964
1978-09,1978,Sep,14028
1978-10,1978,Oct,14026
1978-11,1978,Nov,13791
1978-12,1978,Dec,13793
1979-01,1979,Jan,13715
1979-02,1979,Feb,13638
1979-03,1979,Mar,13904
1979-04,1979,Apr,14030
1979-05,1979,May,14220
1979-06,1979,Jun,14141
1979-07,1979,Jul,14068
1979-08,1979,Aug,14180
1979-09,1979,Sep,14127
1979-10,1979,Oct,14271
1979-11,1979,Nov,14397
1979-12,1979,Dec,14434
1980-01,1980,Jan,14313
1980-02,1980,Feb,14226
1980-03,1980,Mar,14550
1980-04,1980,Apr,14525
1980-05,1980,May,14447
1980-06,1980,Jun,14702
1980-07,1980,Jul,14662
1980-08,1980,Aug,14724
1980-09,1980,Sep,14801
1980-10,1980,Oct,14855
1980-11,1980,Nov,14876
1980-12,1980,Dec,15068
1981-01,1981,Jan,14990
1981-02,1981,Feb,15023
1981-03,1981,Mar,14930
1981-04,1981,Apr,14906
1981-05,1981,May,14792
1981-06,1981,Jun,15257
1981-07,1981,Jul,15293
1981-08,1981,Aug,15322
1981-09,1981,Sep,15495
1981-10,1981,Oct,15494
1981-11,1981,Nov,15560
1981-12,1981,Dec,15591
1982-01,1982,Jan,15659
1982-02,1982,Feb,15602
1982-03,1982,Mar,15609
1982-04,1982,Apr,15569
1982-05,1982,May,15477
1982-06,1982,Jun,15580
1982-07,1982,Jul,15606
1982-08,1982,Aug,15737
1982-09,1982,Sep,15571
1982-10,1982,Oct,15649
1982-11,1982,Nov,15704
1982-12,1982,Dec,15836
1983-01,1983,Jan,16234
1983-02,1983,Feb,16243
1983-03,1983,Mar,16283
1983-04,1983,Apr,16154
1983-05,1983,May,16181
1983-06,1983,Jun,15952
1983-07,1983,Jul,15922
1983-08,1983,Aug,16013
1983-09,1983,Sep,16096
1983-10,1983,Oct,16253
1983-11,1983,Nov,16223
1983-12,1983,Dec,16349
1984-01,1984,Jan,16442
1984-02,1984,Feb,16445
1984-03,1984,Mar,16547
1984-04,1984,Apr,16523
1984-05,1984,May,16533
1984-06,1984,Jun,16426
1984-07,1984,Jul,16479
1984-08,1984,Aug,16544
1984-09,1984,Sep,16505
1984-10,1984,Oct,16637
1984-11,1984,Nov,16655
1984-12,1984,Dec,16628
1985-01,1985,Jan,16811
1985-02,1985,Feb,16874
1985-03,1985,Mar,16833
1985-04,1985,Apr,16802
1985-05,1985,May,16897
1985-06,1985,Jun,16986
1985-07,1985,Jul,17051
1985-08,1985,Aug,16976
1985-09,1985,Sep,16850
1985-10,1985,Oct,16851
1985-11,1985,Nov,16952
1985-12,1985,Dec,17050
1986-01,1986,Jan,16975
1986-02,1986,Feb,17144
1986-03,1986,Mar,17117
1986-04,1986,Apr,17251
1986-05,1986,May,17264
1986-06,1986,Jun,17181
1986-07,1986,Jul,17213
1986-08,1986,Aug,17336
1986-09,1986,Sep,17230
1986-10,1986,Oct,17319
1986-11,1986,Nov,17158
1986-12,1986,Dec,17075
1987-01,1987,Jan,17233
1987-02,1987,Feb,17341
