yearAndMonth,Year,Month,Unemployment(in thousands)
1969-01,1969,Jan,55577
1969-02,1969,Feb,55624
1969-03,1969,Mar,55680
1969-04,1969,Apr,55745
1969-05,1969,May,55822
1969-06,1969,Jun,55892
1969-07,1969,Jul,55997
1969-08,1969,Aug,56089
1969-09,1969,Sep,56146
1969-10,1969,Oct,56245
1969-11,1969,Nov,56344
1969-12,1969,Dec,56472
1970-01,1970,Jan,56576
1970-02,1970,Feb,56688
1970-03,1970,Mar,56770
1970-04,1970,Apr,56865
1970-05,1970,May,56988
1970-06,1970,Jun,57093
1970-07,1970,Jul,57208
1970-08,1970,Aug,57306
1970-09,1970,Sep,57425
1970-10,1970,Oct,57543
1970-11,1970,Nov,57667
1970-12,1970,Dec,57767
1971-01,1971,Jan,57883
1971-02,1971,Feb,57978
1971-03,1971,Mar,58074
1971-04,1971,Apr,58204
1971-05,1971,May,58317
1971-06,1971,Jun,58466
1971-07,1971,Jul,58572
1971-08,1971,Aug,58686
1971-09,1971,Sep,58807
1971-10,1971,Oct,58932
1971-11,1971,Nov,59044
1971-12,1971,Dec,59169
1972-01,1972,Jan,59473
1972-02,1972,Feb,59607
1972-03,1972,Mar,59748
1972-04,1972,Apr,59848
1972-05,1972,May,59979
1972-06,1972,Jun,60117
1972-07,1972,Jul,60223
1972-08,1972,Aug,60314
1972-09,1972,Sep,60408
1972-10,1972,Oct,60512
1972-11,1972,Nov,60594
1972-12,1972,Dec,60726
1973-01,1973,Jan,60849
1973-02,1973,Feb,60938
1973-03,1973,Mar,61061
1973-04,1973,Apr,61155
1973-05,1973,May,61267
1973-06,1973,Jun,61386
1973-07,1973,Jul,61490
1973-08,1973,Aug,61592
1973-09,1973,Sep,61705
1973-10,1973,Oct,61810
1973-11,1973,Nov,61911
1973-12,1973,Dec,62072
1974-01,1974,Jan,62201
1974-02,1974,Feb,62293
1974-03,1974,Mar,62396
1974-04,1974,Apr,62506
1974-05,1974,May,62626
1974-06,1974,Jun,62740
1974-07,1974,Jul,62835
1974-08,1974,Aug,62946
1974-09,1974,Sep,63090
1974-10,1974,Oct,63202
1974-11,1974,Nov,63307
1974-12,1974,Dec,63406
1975-01,1975,Jan,63550
1975-02,1975,Feb,63647
1975-03,1975,Mar,63744
1975-04,1975,Apr,63842
1975-05,1975,May,63959
1975-06,1975,Jun,64080
1975-07,1975,Jul,64217
1975-08,1975,Aug,64326
1975-09,1975,Sep,64469
1975-10,1975,Oct,64575
1975-11,1975,Nov,64690
1975-12,1975,Dec,64799
1976-01,1976,Jan,64934
1976-02,1976,Feb,65022
1976-03,1976,Mar,65129
1976-04,1976,Apr,65225
1976-05,1976,May,65330
1976-06,1976,Jun,65444
1976-07,1976,Jul,65555
1976-08,1976,Aug,65671
1976-09,1976,Sep,65791
1976-10,1976,Oct,65907
1976-11,1976,Nov,66016
1976-12,1976,Dec,66163
1977-01,1977,Jan,66282
1977-02,1977,Feb,66383
1977-03,1977,Mar,66474
1977-04,1977,Apr,66588
1977-05,1977,May,66726
1977-06,1977,Jun,66850
1977-07,1977,Jul,66969
1977-08,1977,Aug,67086
1977-09,1977,Sep,67206
1977-10,1977,Oct,67321
1977-11,1977,Nov,67426
1977-12,1977,Dec,67541
1978-01,1978,Jan,67652
1978-02,1978,Feb,67749
1978-03,1978,Mar,67848
1978-04,1978,Apr,67959
1978-05,1978,May,68083
1978-06,1978,Jun,68208
