yearAndMonth,Year,Month,Unemployment(in thousands)
1969-01,1969,Jan,927
1969-02,1969,Feb,903
1969-03,1969,Mar,900
1969-04,1969,Apr,904
1969-05,1969,May,904
1969-06,1969,Jun,923
1969-07,1969,Jul,985
1969-08,1969,Aug,957
1969-09,1969,Sep,1072
1969-10,1969,Oct,1064
1969-11,1969,Nov,1003
1969-12,1969,Dec,1062
1970-01,1970,Jan,1188
1970-02,1970,Feb,1334
1970-03,1970,Mar,1382
1970-04,1970,Apr,1494
1970-05,1970,May,1553
1970-06,1970,Jun,1624
1970-07,1970,Jul,1735
1970-08,1970,Aug,1755
1970-09,1970,Sep,1830
1970-10,1970,Oct,1890
1970-11,1970,Nov,2023
1970-12,1970,Dec,2192
1971-01,1971,Jan,2100
1971-02,1971,Feb,2069
1971-03,1971,Mar,2055
1971-04,1971,Apr,2049
1971-05,1971,May,2093
1971-06,1971,Jun,2061
1971-07,1971,Jul,2079
1971-08,1971,Aug,2160
1971-09,1971,Sep,2142
1971-10,1971,Oct,2029
1971-11,1971,Nov,2166
1971-12,1971,Dec,2178
1972-01,1972,Jan,2071
1972-02,1972,Feb,1993
1972-03,1972,Mar,2034
1972-04,1972,Apr,2019
1972-05,1972,May,2006
1972-06,1972,Jun,1981
1972-07,1972,Jul,1960
1972-08,1972,Aug,1898
1972-09,1972,Sep,1878
1972-10,1972,Oct,1910
1972-11,1972,Nov,1791
1972-12,1972,Dec,1742
1973-01,1973,Jan,1688
1973-02,1973,Feb,1693
1973-03,1973,Mar,1695
1973-04,1973,Apr,1670
1973-05,1973,May,1671
1973-06,1973,Jun,1628
1973-07,1973,Jul,1566
1973-08,1973,Aug,1575
1973-09,1973,Sep,1543
1973-10,1973,Oct,1467
1973-11,1973,Nov,1560
1973-12,1973,Dec,1628
1974-01,1974,Jan,1755
1974-02,1974,Feb,1809
1974-03,1974,Mar,1735
1974-04,1974,Apr,1796
1974-05,1974,May,1736
1974-06,1974,Jun,1800
1974-07,1974,Jul,1833
1974-08,1974,Aug,1957
1974-09,1974,Sep,1978
1974-10,1974,Oct,2129
1974-11,1974,Nov,2380
1974-12,1974,Dec,2727
1975-01,1975,Jan,3127
1975-02,1975,Feb,3214
1975-03,1975,Mar,3476
1975-04,1975,Apr,3632
1975-05,1975,May,3772
1975-06,1975,Jun,3627
1975-07,1975,Jul,3611
1975-08,1975,Aug,3453
1975-09,1975,Sep,3585
1975-10,1975,Oct,3489
1975-11,1975,Nov,3497
1975-12,1975,Dec,3346
1976-01,1976,Jan,3161
1976-02,1976,Feb,3041
1976-03,1976,Mar,3012
1976-04,1976,Apr,3002
1976-05,1976,May,2968
1976-06,1976,Jun,3167
1976-07,1976,Jul,3136
1976-08,1976,Aug,3046
1976-09,1976,Sep,3075
1976-10,1976,Oct,3076
1976-11,1976,Nov,3241
1976-12,1976,Dec,3227
1977-01,1977,Jan,3046
1977-02,1977,Feb,3136
1977-03,1977,Mar,2939
1977-04,1977,Apr,2824
1977-05,1977,May,2847
