yearAndMonth,Year,Month,Unemployment(in thousands)
1969-01,1969,Jan,46081
1969-02,1969,Feb,46242
1969-03,1969,Mar,46205
1969-04,1969,Apr,46166
1969-05,1969,May,46182
1969-06,1969,Jun,46236
1969-07,1969,Jul,46290
1969-08,1969,Aug,46470
1969-09,1969,Sep,46519
1969-10,1969,Oct,46552
1969-11,1969,Nov,46508
1969-12,1969,Dec,46639
1970-01,1970,Jan,46842
1970-02,1970,Feb,46961
1970-03,1970,Mar,47050
1970-04,1970,Apr,47173
1970-05,1970,May,47219
1970-06,1970,Jun,47178
1970-07,1970,Jul,47251
1970-08,1970,Aug,47250
1970-09,1970,Sep,47365
1970-10,1970,Oct,47398
1970-11,1970,Nov,47563
1970-12,1970,Dec,47658
1971-01,1971,Jan,47627
1971-02,1971,Feb,47524
1971-03,1971,Mar,47575
1971-04,1971,Apr,47838
1971-05,1971,May,48010
1971-06,1971,Jun,47940
1971-07,1971,Jul,48079
1971-08,1971,Aug,48201
1971-09,1971,Sep,48232
1971-10,1971,Oct,48161
1971-11,1971,Nov,48375
1971-12,1971,Dec,48458
1972-01,1972,Jan,48542
1972-02,1972,Feb,48593
1972-03,1972,Mar,48855
1972-04,1972,Apr,48882
1972-05,1972,May,48956
1972-06,1972,Jun,49128
1972-07,1972,Jul,49204
1972-08,1972,Aug,49219
1972-09,1972,Sep,49272
1972-10,1972,Oct,49264
1972-11,1972,Nov,49320
1972-12,1972,Dec,49489
1973-01,1973,Jan,49389
1973-02,1973,Feb,49577
1973-03,1973,Mar,49812
1973-04,1973,Apr,49768
1973-05,1973,May,49739
1973-06,1973,Jun,49872
1973-07,1973,Jul,50018
1973-08,1973,Aug,49928
1973-09,1973,Sep,49951
1973-10,1973,Oct,50098
1973-11,1973,Nov,50324
1973-12,1973,Dec,50530
1974-01,1974,Jan,50862
1974-02,1974,Feb,50866
1974-03,1974,Mar,50721
1974-04,1974,Apr,50649
1974-05,1974,May,50775
1974-06,1974,Jun,50746
1974-07,1974,Jul,50716
1974-08,1974,Aug,50907
1974-09,1974,Sep,50956
1974-10,1974,Oct,51088
1974-11,1974,Nov,51213
1974-12,1974,Dec,51185
1975-01,1975,Jan,51213
1975-02,1975,Feb,51141
1975-03,1975,Mar,51252
1975-04,1975,Apr,51391
1975-05,1975,May,51607
1975-06,1975,Jun,51381
1975-07,1975,Jul,51661
1975-08,1975,Aug,51692
1975-09,1975,Sep,51711
1975-10,1975,Oct,51654
1975-11,1975,Nov,51700
1975-12,1975,Dec,51612
1976-01,1976,Jan,51753
1976-02,1976,Feb,51762
1976-03,1976,Mar,51848
1976-04,1976,Apr,52099
1976-05,1976,May,52161
1976-06,1976,Jun,52177
1976-07,1976,Jul,52372
1976-08,1976,Aug,52463
1976-09,1976,Sep,52560
1976-10,1976,Oct,52600
1976-11,1976,Nov,52802
1976-12,1976,Dec,52826
1977-01,1977,Jan,52784
1977-02,1977,Feb,52974
1977-03,1977,Mar,52970
1977-04,1977,Apr,53009
1977-05,1977,May,53127
1977-06,1977,Jun,53313
1977-07,1977,Jul,53295
1977-08,1977,Aug,53465
1977-09,1977,Sep,53357
1977-10,1977,Oct,53725
1977-11,1977,Nov,53900
1977-12,1977,Dec,54001
1978-01,1978,Jan,54077
1978-02,1978,Feb,54061
1978-03,1978,Mar,54103
1978-04,1978,Apr,54247
1978-05,1978,May,54348
1978-06,1978,Jun,54440
1978-07,1978,Jul,54422
1978-08,1978,Aug,54457
1978-09,1978,Sep,54513
1978-10,1978,Oct,54670
1978-11,1978,Nov,55018
1978-12,1978,Dec,55137
1979-01,1979,Jan,55349
1979-02,1979,Feb,55524
1979-03,1979,Mar,55390
1979-04,1979,Apr,55338
1979-05,1979,May,55295
1979-06,1979,Jun,55502
1979-07,1979,Jul,55686
1979-08,1979,Aug,55686
1979-09,1979,Sep,55855
1979-10,1979,Oct,55895
1979-11,1979,Nov,55884
1979-12,1979,Dec,55990
1980-01,1980,Jan,56225
1980-02,1980,Feb,56412
1980-03,1980,Mar,56195
1980-04,1980,Apr,56327
1980-05,1980,May,56513
1980-06,1980,Jun,56374
1980-07,1980,Jul,56553
1980-08,1980,Aug,56585
1980-09,1980,Sep,56613
1980-10,1980,Oct,56678
1980-11,1980,Nov,56760
1980-12,1980,Dec,56665
1981-01,1981,Jan,56860
1981-02,1981,Feb,56928
1981-03,1981,Mar,57107
1981-04,1981,Apr,57236
1981-05,1981,May,57459
1981-06,1981,Jun,57102
1981-07,1981,Jul,57179
1981-08,1981,Aug,57237
1981-09,1981,Sep,57175
1981-10,1981,Oct,57301
1981-11,1981,Nov,57361
1981-12,1981,Dec,57429
1982-01,1982,Jan,57461
1982-02,1982,Feb,57607
1982-03,1982,Mar,57678
1982-04,1982,Apr,57823
1982-05,1982,May,58022
1982-06,1982,Jun,58005
1982-07,1982,Jul,58079
1982-08,1982,Aug,58037
1982-09,1982,Sep,58296
1982-10,1982,Oct,58335
1982-11,1982,Nov,58390
1982-12,1982,Dec,58400
1983-01,1983,Jan,58105
1983-02,1983,Feb,58191
1983-03,1983,Mar,58245
1983-04,1983,Apr,58457
1983-05,1983,May,58531
1983-06,1983,Jun,58862
1983-07,1983,Jul,59005
1983-08,1983,Aug,58999
1983-09,1983,Sep,59019
1983-10,1983,Oct,58963
1983-11,1983,Nov,59104
1983-12,1983,Dec,59084
1984-01,1984,Jan,59250
1984-02,1984,Feb,59341
1984-03,1984,Mar,59333
1984-04,1984,Apr,59450
1984-05,1984,May,59540
1984-06,1984,Jun,59750
1984-07,1984,Jul,59790
1984-08,1984,Aug,59806
1984-09,1984,Sep,59946
1984-10,1984,Oct,59928
1984-11,1984,Nov,60008
1984-12,1984,Dec,60125
1985-01,1985,Jan,59949
1985-02,1985,Feb,59955
1985-03,1985,Mar,60071
1985-04,1985,Apr,60186
1985-05,1985,May,60171
1985-06,1985,Jun,60149
1985-07,1985,Jul,60192
1985-08,1985,Aug,60330
1985-09,1985,Sep,60539
1985-10,1985,Oct,60647
1985-11,1985,Nov,60614
1985-12,1985,Dec,60601
1986-01,1986,Jan,61126
1986-02,1986,Feb,61027
1986-03,1986,Mar,61119
1986-04,1986,Apr,61058
1986-05,1986,May,61123
1986-06,1986,Jun,61303
1986-07,1986,Jul,61373
1986-08,1986,Aug,61298
1986-09,1986,Sep,61492
1986-10,1986,Oct,61483
1986-11,1986,Nov,61716
1986-12,1986,Dec,61898
1987-01,1987,Jan,61899
1987-02,1987,Feb,61875
1987-03,1987,Mar,61901
1987-04,1987,Apr,61918
1987-05,1987,May,62175
1987-06,1987,Jun,62058
1987-07,1987,Jul,62120
1987-08,1987,Aug,62104
1987-09,1987,Sep,62111
1987-10,1987,Oct,62273
1987-11,1987,Nov,62312
1987-12,1987,Dec,62268
1988-01,1988,Jan,62423
1988-02,1988,Feb,62584
1988-03,1988,Mar,62479
1988-04,1988,Apr,62701
1988-05,1988,May,62724
1988-06,1988,Jun,62681
1988-07,1988,Jul,62764
1988-08,1988,Aug,62994
1988-09,1988,Sep,62857
1988-10,1988,Oct,62955
1988-11,1988,Nov,63031
1988-12,1988,Dec,63004
