yearAndMonth,Year,Month,Employment Level (in thousands),Gender,Employment Rate (in percentage)
1969-01,1969,Jan,25777,Women,40.4
1969-02,1969,Feb,26092,Women,40.9
1969-03,1969,Mar,26115,Women,40.9
1969-04,1969,Apr,26233,Women,41.0
1969-05,1969,May,26283,Women,41.0
1969-06,1969,Jun,26429,Women,41.2
1969-07,1969,Jul,26516,Women,41.2
1969-08,1969,Aug,26556,Women,41.2
1969-09,1969,Sep,26572,Women,41.2
1969-10,1969,Oct,26658,Women,41.3
1969-11,1969,Nov,26652,Women,41.2
1969-12,1969,Dec,26832,Women,41.4
1970-01,1970,Jan,26908,Women,41.5
1970-02,1970,Feb,26828,Women,41.3
1970-03,1970,Mar,26933,Women,41.4
1970-04,1970,Apr,27114,Women,41.6
1970-05,1970,May,26739,Women,41.0
1970-06,1970,Jun,26904,Women,41.2
1970-07,1970,Jul,27083,Women,41.4
1970-08,1970,Aug,27011,Women,41.2
1970-09,1970,Sep,26784,Women,40.8
1970-10,1970,Oct,27058,Women,41.1
1970-11,1970,Nov,27020,Women,41.0
1970-12,1970,Dec,27038,Women,41.0
1971-01,1971,Jan,27173,Women,41.1
1971-02,1971,Feb,27040,Women,40.9
1971-03,1971,Mar,26967,Women,40.7
1971-04,1971,Apr,26984,Women,40.6
1971-05,1971,May,27056,Women,40.7
1971-06,1971,Jun,27013,Women,40.5
1971-07,1971,Jul,27054,Women,40.5
1971-08,1971,Aug,27171,Women,40.7
1971-09,1971,Sep,27390,Women,40.9
1971-10,1971,Oct,27538,Women,41.1
1971-11,1971,Nov,27721,Women,41.3
1971-12,1971,Dec,27791,Women,41.3
1972-01,1972,Jan,27956,Women,41.2
1972-02,1972,Feb,28016,Women,41.2
1972-03,1972,Mar,28126,Women,41.3
1972-04,1972,Apr,28114,Women,41.2
1972-05,1972,May,28184,Women,41.3
1972-06,1972,Jun,28175,Women,41.2
1972-07,1972,Jul,28225,Women,41.2
1972-08,1972,Aug,28382,Women,41.3
1972-09,1972,Sep,28417,Women,41.3
1972-10,1972,Oct,28438,Women,41.3
1972-11,1972,Nov,28567,Women,41.4
1972-12,1972,Dec,28698,Women,41.5
1973-01,1973,Jan,28596,Women,41.3
1973-02,1973,Feb,28995,Women,41.8
1973-03,1973,Mar,29110,Women,41.9
1973-04,1973,Apr,29304,Women,42.1
1973-05,1973,May,29432,Women,42.3
1973-06,1973,Jun,29505,Women,42.3
1973-07,1973,Jul,29592,Women,42.4
1973-08,1973,Aug,29578,Women,42.3
1973-09,1973,Sep,29710,Women,42.4
1973-10,1973,Oct,29885,Women,42.6
1973-11,1973,Nov,30071,Women,42.8
1973-12,1973,Dec,29991,Women,42.6
1974-01,1974,Jan,29893,Women,42.4
1974-02,1974,Feb,30146,Women,42.7
1974-03,1974,Mar,30293,Women,42.8
1974-04,1974,Apr,30376,Women,42.9
1974-05,1974,May,30424,Women,42.9
1974-06,1974,Jun,30512,Women,42.9
1974-07,1974,Jul,30869,Women,43.3
1974-08,1974,Aug,30662,Women,43.0
1974-09,1974,Sep,30569,Women,42.8
1974-10,1974,Oct,30570,Women,42.7
1974-11,1974,Nov,30424,Women,42.4
1974-12,1974,Dec,30431,Women,42.4
1975-01,1975,Jan,30343,Women,42.2
1975-02,1975,Feb,30215,Women,42.0
1975-03,1975,Mar,30334,Women,42.1
1975-04,1975,Apr,30410,Women,42.1
1975-05,1975,May,30483,Women,42.1
1975-06,1975,Jun,30618,Women,42.2
1975-07,1975,Jul,30794,Women,42.4
1975-08,1975,Aug,30966,Women,42.5
1975-09,1975,Sep,30979,Women,42.5
1975-10,1975,Oct,31121,Women,42.6
1975-11,1975,Nov,31135,Women,42.6
1975-12,1975,Dec,31268,Women,42.7
1976-01,1976,Jan,31595,Women,43.1
1976-02,1976,Feb,31680,Women,43.1
1976-03,1976,Mar,31842,Women,43.3
1976-04,1976,Apr,31951,Women,43.3
1976-05,1976,May,32147,Women,43.5
1976-06,1976,Jun,32267,Women,43.6
1976-07,1976,Jul,32334,Women,43.6
1976-08,1976,Aug,32437,Women,43.7
1976-09,1976,Sep,32390,Women,43.6
1976-10,1976,Oct,32412,Women,43.5
1976-11,1976,Nov,32753,Women,43.9
1976-12,1976,Dec,32914,Women,44.1
1977-01,1977,Jan,32872,Women,44.0
1977-02,1977,Feb,32997,Women,44.1
1977-03,1977,Mar,33246,Women,44.3
1977-04,1977,Apr,33470,Women,44.6
1977-05,1977,May,33851,Women,45.0
1977-06,1977,Jun,33678,Women,44.7
1977-07,1977,Jul,33749,Women,44.7
1977-08,1977,Aug,33809,Women,44.7
1977-09,1977,Sep,34218,Women,45.2
1977-10,1977,Oct,34187,Women,45.0
1977-11,1977,Nov,34536,Women,45.4
1977-12,1977,Dec,34668,Women,45.5
1978-01,1978,Jan,34948,Women,45.8
1978-02,1978,Feb,35118,Women,46.0
1978-03,1978,Mar,35310,Women,46.2
