yearAndMonth,Year,Month,Labour Force Level (in thousands),Gender
1969-01,1969,Jan,26770,Women
1969-02,1969,Feb,27084,Women
1969-03,1969,Mar,27096,Women
1969-04,1969,Apr,27262,Women
1969-05,1969,May,27262,Women
1969-06,1969,Jun,27467,Women
1969-07,1969,Jul,27495,Women
1969-08,1969,Aug,27599,Women
1969-09,1969,Sep,27640,Women
1969-10,1969,Oct,27732,Women
1969-11,1969,Nov,27665,Women
1969-12,1969,Dec,27809,Women
1970-01,1970,Jan,27954,Women
1970-02,1970,Feb,27988,Women
1970-03,1970,Mar,28217,Women
1970-04,1970,Apr,28357,Women
1970-05,1970,May,28083,Women
1970-06,1970,Jun,28194,Women
1970-07,1970,Jul,28463,Women
1970-08,1970,Aug,28375,Women
1970-09,1970,Sep,28219,Women
1970-10,1970,Oct,28531,Women
1970-11,1970,Nov,28616,Women
1970-12,1970,Dec,28663,Women
1971-01,1971,Jan,28810,Women
1971-02,1971,Feb,28669,Women
1971-03,1971,Mar,28654,Women
1971-04,1971,Apr,28684,Women
1971-05,1971,May,28718,Women
1971-06,1971,Jun,28636,Women
1971-07,1971,Jul,28664,Women
1971-08,1971,Aug,28865,Women
1971-09,1971,Sep,29047,Women
1971-10,1971,Oct,29188,Women
1971-11,1971,Nov,29422,Women
1971-12,1971,Dec,29465,Women
1972-01,1972,Jan,29580,Women
1972-02,1972,Feb,29522,Women
1972-03,1972,Mar,29751,Women
1972-04,1972,Apr,29733,Women
1972-05,1972,May,29882,Women
1972-06,1972,Jun,29841,Women
1972-07,1972,Jul,29927,Women
1972-08,1972,Aug,30066,Women
1972-09,1972,Sep,30074,Women
1972-10,1972,Oct,30127,Women
1972-11,1972,Nov,30090,Women
1972-12,1972,Dec,30210,Women
1973-01,1973,Jan,30148,Women
1973-02,1973,Feb,30487,Women
1973-03,1973,Mar,30608,Women
1973-04,1973,Apr,30784,Women
1973-05,1973,May,30835,Women
1973-06,1973,Jun,31046,Women
1973-07,1973,Jul,31124,Women
1973-08,1973,Aug,31124,Women
1973-09,1973,Sep,31249,Women
1973-10,1973,Oct,31301,Women
1973-11,1973,Nov,31589,Women
1973-12,1973,Dec,31564,Women
1974-01,1974,Jan,31491,Women
1974-02,1974,Feb,31746,Women
1974-03,1974,Mar,31874,Women
1974-04,1974,Apr,31955,Women
1974-05,1974,May,32042,Women
1974-06,1974,Jun,32182,Women
1974-07,1974,Jul,32602,Women
1974-08,1974,Aug,32426,Women
1974-09,1974,Sep,32487,Women
1974-10,1974,Oct,32416,Women
1974-11,1974,Nov,32590,Women
1974-12,1974,Dec,32726,Women
1975-01,1975,Jan,32972,Women
1975-02,1975,Feb,32810,Women
1975-03,1975,Mar,33076,Women
1975-04,1975,Apr,33241,Women
1975-05,1975,May,33321,Women
1975-06,1975,Jun,33371,Women
1975-07,1975,Jul,33473,Women
1975-08,1975,Aug,33609,Women
1975-09,1975,Sep,33579,Women
1975-10,1975,Oct,33778,Women
1975-11,1975,Nov,33759,Women
1975-12,1975,Dec,33906,Women
1976-01,1976,Jan,34214,Women
1976-02,1976,Feb,34255,Women
1976-03,1976,Mar,34360,Women
1976-04,1976,Apr,34496,Women
1976-05,1976,May,34531,Women
1976-06,1976,Jun,34765,Women
1976-07,1976,Jul,35007,Women
1976-08,1976,Aug,35110,Women
1976-09,1976,Sep,35025,Women
1976-10,1976,Oct,35050,Women
1976-11,1976,Nov,35397,Women
1976-12,1976,Dec,35511,Women
1977-01,1977,Jan,35399,Women
1977-02,1977,Feb,35613,Women
1977-03,1977,Mar,35888,Women
1977-04,1977,Apr,36032,Women
1977-05,1977,May,36259,Women
1977-06,1977,Jun,36255,Women
1977-07,1977,Jul,36241,Women
1977-08,1977,Aug,36351,Women
1977-09,1977,Sep,36756,Women
1977-10,1977,Oct,36649,Women
1977-11,1977,Nov,37125,Women
1977-12,1977,Dec,37084,Women
1978-01,1978,Jan,37323,Women
1978-02,1978,Feb,37328,Women
1978-03,1978,Mar,37548,Women
1978-04,1978,Apr,37809,Women
1978-05,1978,May,37880,Women
1978-06,1978,Jun,38150,Women
1978-07,1978,Jul,38228,Women
1978-08,1978,Aug,38151,Women
1978-09,1978,Sep,38582,Women
1978-10,1978,Oct,38683,Women
1978-11,1978,Nov,38840,Women
1978-12,1978,Dec,38964,Women
1979-01,1979,Jan,38959,Women
1979-02,1979,Feb,39216,Women
1979-03,1979,Mar,39448,Women
1979-04,1979,Apr,39182,Women
1979-05,1979,May,39323,Women
1979-06,1979,Jun,39472,Women
1979-07,1979,Jul,39710,Women
1979-08,1979,Aug,39954,Women
1979-09,1979,Sep,40052,Women
1979-10,1979,Oct,40231,Women
1979-11,1979,Nov,40329,Women
1979-12,1979,Dec,40578,Women
1980-01,1980,Jan,40747,Women
1980-02,1980,Feb,40784,Women
1980-03,1980,Mar,40747,Women
1980-04,1980,Apr,40992,Women
1980-05,1980,May,40959,Women
1980-06,1980,Jun,40968,Women
1980-07,1980,Jul,41107,Women
1980-08,1980,Aug,41273,Women
1980-09,1980,Sep,41196,Women
1980-10,1980,Oct,41408,Women
1980-11,1980,Nov,41562,Women
1980-12,1980,Dec,41512,Women
1981-01,1981,Jan,41866,Women
1981-02,1981,Feb,42057,Women
1981-03,1981,Mar,42234,Women
1981-04,1981,Apr,42400,Women
1981-05,1981,May,42603,Women
1981-06,1981,Jun,42514,Women
1981-07,1981,Jul,42538,Women
1981-08,1981,Aug,42557,Women
1981-09,1981,Sep,42284,Women
1981-10,1981,Oct,42872,Women
1981-11,1981,Nov,43023,Women
1981-12,1981,Dec,42881,Women
1982-01,1982,Jan,42952,Women
1982-02,1982,Feb,43163,Women
1982-03,1982,Mar,43339,Women
1982-04,1982,Apr,43392,Women
1982-05,1982,May,43676,Women
1982-06,1982,Jun,43783,Women
1982-07,1982,Jul,43883,Women
1982-08,1982,Aug,43963,Women
1982-09,1982,Sep,43956,Women
1982-10,1982,Oct,43910,Women
1982-11,1982,Nov,44140,Women
1982-12,1982,Dec,44286,Women
1983-01,1983,Jan,44255,Women
1983-02,1983,Feb,44284,Women
1983-03,1983,Mar,44244,Women
1983-04,1983,Apr,44277,Women
1983-05,1983,May,44259,Women
1983-06,1983,Jun,44569,Women
1983-07,1983,Jul,44544,Women
1983-08,1983,Aug,44853,Women
1983-09,1983,Sep,45132,Women
1983-10,1983,Oct,44953,Women
1983-11,1983,Nov,45049,Women
1983-12,1983,Dec,45154,Women
1984-01,1984,Jan,44994,Women
1984-02,1984,Feb,45316,Women
1984-03,1984,Mar,45454,Women
1984-04,1984,Apr,45660,Women
1984-05,1984,May,46165,Women
1984-06,1984,Jun,45936,Women
1984-07,1984,Jul,46137,Women
1984-08,1984,Aug,46067,Women
1984-09,1984,Sep,45960,Women
1984-10,1984,Oct,46229,Women
1984-11,1984,Nov,46318,Women
1984-12,1984,Dec,46523,Women
1985-01,1985,Jan,46740,Women
1985-02,1985,Feb,46901,Women
1985-03,1985,Mar,47195,Women
1985-04,1985,Apr,47187,Women
1985-05,1985,May,47097,Women
1985-06,1985,Jun,47136,Women
1985-07,1985,Jul,47115,Women
1985-08,1985,Aug,47247,Women
1985-09,1985,Sep,47548,Women
