yearAndMonth,Year,Month,Population Level (in thousands),Gender
1969-01,1969,Jan,63759,Women
1969-02,1969,Feb,63827,Women
1969-03,1969,Mar,63922,Women
1969-04,1969,Apr,64013,Women
1969-05,1969,May,64125,Women
1969-06,1969,Jun,64215,Women
1969-07,1969,Jul,64335,Women
1969-08,1969,Aug,64422,Women
1969-09,1969,Sep,64509,Women
1969-10,1969,Oct,64611,Women
1969-11,1969,Nov,64700,Women
1969-12,1969,Dec,64792,Women
1970-01,1970,Jan,64871,Women
1970-02,1970,Feb,64962,Women
1970-03,1970,Mar,65052,Women
1970-04,1970,Apr,65140,Women
1970-05,1970,May,65246,Women
1970-06,1970,Jun,65332,Women
1970-07,1970,Jul,65445,Women
1970-08,1970,Aug,65552,Women
1970-09,1970,Sep,65661,Women
1970-10,1970,Oct,65773,Women
1970-11,1970,Nov,65881,Women
1970-12,1970,Dec,65991,Women
1971-01,1971,Jan,66099,Women
1971-02,1971,Feb,66190,Women
1971-03,1971,Mar,66301,Women
1971-04,1971,Apr,66410,Women
1971-05,1971,May,66517,Women
1971-06,1971,Jun,66623,Women
1971-07,1971,Jul,66731,Women
1971-08,1971,Aug,66835,Women
1971-09,1971,Sep,66952,Women
1971-10,1971,Oct,67068,Women
1971-11,1971,Nov,67173,Women
1971-12,1971,Dec,67284,Women
1972-01,1972,Jan,67895,Women
1972-02,1972,Feb,68003,Women
1972-03,1972,Mar,68102,Women
1972-04,1972,Apr,68188,Women
1972-05,1972,May,68300,Women
1972-06,1972,Jun,68416,Women
1972-07,1972,Jul,68534,Women
1972-08,1972,Aug,68650,Women
1972-09,1972,Sep,68765,Women
1972-10,1972,Oct,68875,Women
1972-11,1972,Nov,68988,Women
1972-12,1972,Dec,69102,Women
1973-01,1973,Jan,69213,Women
1973-02,1973,Feb,69314,Women
1973-03,1973,Mar,69423,Women
1973-04,1973,Apr,69527,Women
1973-05,1973,May,69643,Women
1973-06,1973,Jun,69754,Women
1973-07,1973,Jul,69873,Women
1973-08,1973,Aug,69988,Women
1973-09,1973,Sep,70104,Women
1973-10,1973,Oct,70223,Women
1973-11,1973,Nov,70337,Women
1973-12,1973,Dec,70432,Women
1974-01,1974,Jan,70506,Women
1974-02,1974,Feb,70615,Women
1974-03,1974,Mar,70726,Women
1974-04,1974,Apr,70845,Women
1974-05,1974,May,70971,Women
1974-06,1974,Jun,71090,Women
1974-07,1974,Jul,71209,Women
1974-08,1974,Aug,71325,Women
1974-09,1974,Sep,71426,Women
1974-10,1974,Oct,71549,Women
1974-11,1974,Nov,71671,Women
1974-12,1974,Dec,71788,Women
1975-01,1975,Jan,71903,Women
1975-02,1975,Feb,72022,Women
1975-03,1975,Mar,72134,Women
1975-04,1975,Apr,72241,Women
1975-05,1975,May,72364,Women
1975-06,1975,Jun,72496,Women
1975-07,1975,Jul,72669,Women
1975-08,1975,Aug,72794,Women
1975-09,1975,Sep,72893,Women
1975-10,1975,Oct,73007,Women
1975-11,1975,Nov,73130,Women
1975-12,1975,Dec,73255,Women
1976-01,1976,Jan,73373,Women
1976-02,1976,Feb,73484,Women
1976-03,1976,Mar,73605,Women
1976-04,1976,Apr,73712,Women
1976-05,1976,May,73832,Women
1976-06,1976,Jun,73958,Women
1976-07,1976,Jul,74085,Women
1976-08,1976,Aug,74212,Women
1976-09,1976,Sep,74341,Women
1976-10,1976,Oct,74444,Women
1976-11,1976,Nov,74569,Women
1976-12,1976,Dec,74627,Women
1977-01,1977,Jan,74747,Women
1977-02,1977,Feb,74863,Women
1977-03,1977,Mar,74978,Women
1977-04,1977,Apr,75099,Women
1977-05,1977,May,75243,Women
1977-06,1977,Jun,75381,Women
1977-07,1977,Jul,75515,Women
1977-08,1977,Aug,75645,Women
1977-09,1977,Sep,75768,Women
1977-10,1977,Oct,75895,Women
1977-11,1977,Nov,76015,Women
1977-12,1977,Dec,76142,Women
1978-01,1978,Jan,76266,Women
1978-02,1978,Feb,76382,Women
1978-03,1978,Mar,76490,Women
1978-04,1978,Apr,76610,Women
1978-05,1978,May,76743,Women
1978-06,1978,Jun,76880,Women
1978-07,1978,Jul,77014,Women
1978-08,1978,Aug,77137,Women
1978-09,1978,Sep,77266,Women
1978-10,1978,Oct,77401,Women
1978-11,1978,Nov,77524,Women
1978-12,1978,Dec,77655,Women
1979-01,1979,Jan,77779,Women
1979-02,1979,Feb,77895,Women
1979-03,1979,Mar,78050,Women
1979-04,1979,Apr,78121,Women
1979-05,1979,May,78281,Women
1979-06,1979,Jun,78421,Women
1979-07,1979,Jul,78553,Women
1979-08,1979,Aug,78677,Women
1979-09,1979,Sep,78805,Women
1979-10,1979,Oct,78998,Women
1979-11,1979,Nov,79127,Women
1979-12,1979,Dec,79255,Women
1980-01,1980,Jan,79385,Women
1980-02,1980,Feb,79506,Women
1980-03,1980,Mar,79626,Women
1980-04,1980,Apr,79746,Women
1980-05,1980,May,79863,Women
1980-06,1980,Jun,79996,Women
1980-07,1980,Jul,80151,Women
1980-08,1980,Aug,80264,Women
1980-09,1980,Sep,80383,Women
1980-10,1980,Oct,80502,Women
1980-11,1980,Nov,80617,Women
1980-12,1980,Dec,80732,Women
1981-01,1981,Jan,80856,Women
1981-02,1981,Feb,80966,Women
1981-03,1981,Mar,81076,Women
1981-04,1981,Apr,81193,Women
1981-05,1981,May,81308,Women
1981-06,1981,Jun,81434,Women
1981-07,1981,Jul,81561,Women
1981-08,1981,Aug,81671,Women
1981-09,1981,Sep,81792,Women
1981-10,1981,Oct,81920,Women
1981-11,1981,Nov,82038,Women
1981-12,1981,Dec,82151,Women
1982-01,1982,Jan,82260,Women
1982-02,1982,Feb,82367,Women
1982-03,1982,Mar,82478,Women
1982-04,1982,Apr,82591,Women
1982-05,1982,May,82707,Women
1982-06,1982,Jun,82811,Women
1982-07,1982,Jul,82926,Women
1982-08,1982,Aug,83035,Women
1982-09,1982,Sep,83152,Women
1982-10,1982,Oct,83271,Women
1982-11,1982,Nov,83385,Women
1982-12,1982,Dec,83383,Women
1983-01,1983,Jan,83490,Women
1983-02,1983,Feb,83593,Women
1983-03,1983,Mar,83699,Women
1983-04,1983,Apr,83794,Women
1983-05,1983,May,83899,Women
1983-06,1983,Jun,84008,Women
1983-07,1983,Jul,84122,Women
1983-08,1983,Aug,84224,Women
1983-09,1983,Sep,84333,Women
1983-10,1983,Oct,84443,Women
1983-11,1983,Nov,84553,Women
1983-12,1983,Dec,84666,Women
1984-01,1984,Jan,84860,Women
1984-02,1984,Feb,84962,Women
1984-03,1984,Mar,85064,Women
1984-04,1984,Apr,85168,Women
