yearAndMonth,Year,Month,Unemployment Level (in thousands),Gender,Unemployment Rate (in percentage)
1969-01,1969,Jan,993,Women,3.7
1969-02,1969,Feb,992,Women,3.7
1969-03,1969,Mar,981,Women,3.6
1969-04,1969,Apr,1029,Women,3.8
1969-05,1969,May,979,Women,3.6
1969-06,1969,Jun,1038,Women,3.8
1969-07,1969,Jul,979,Women,3.6
1969-08,1969,Aug,1043,Women,3.8
1969-09,1969,Sep,1068,Women,3.9
1969-10,1969,Oct,1074,Women,3.9
1969-11,1969,Nov,1013,Women,3.7
1969-12,1969,Dec,977,Women,3.5
1970-01,1970,Jan,1046,Women,3.7
1970-02,1970,Feb,1160,Women,4.1
1970-03,1970,Mar,1284,Women,4.6
1970-04,1970,Apr,1243,Women,4.4
1970-05,1970,May,1344,Women,4.8
1970-06,1970,Jun,1290,Women,4.6
1970-07,1970,Jul,1380,Women,4.8
1970-08,1970,Aug,1364,Women,4.8
1970-09,1970,Sep,1435,Women,5.1
1970-10,1970,Oct,1473,Women,5.2
1970-11,1970,Nov,1596,Women,5.6
1970-12,1970,Dec,1625,Women,5.7
1971-01,1971,Jan,1637,Women,5.7
1971-02,1971,Feb,1629,Women,5.7
1971-03,1971,Mar,1687,Women,5.9
1971-04,1971,Apr,1700,Women,5.9
1971-05,1971,May,1662,Women,5.8
1971-06,1971,Jun,1623,Women,5.7
1971-07,1971,Jul,1610,Women,5.6
1971-08,1971,Aug,1694,Women,5.9
1971-09,1971,Sep,1657,Women,5.7
1971-10,1971,Oct,1650,Women,5.7
1971-11,1971,Nov,1701,Women,5.8
1971-12,1971,Dec,1674,Women,5.7
1972-01,1972,Jan,1624,Women,5.5
1972-02,1972,Feb,1506,Women,5.1
1972-03,1972,Mar,1625,Women,5.5
1972-04,1972,Apr,1619,Women,5.4
1972-05,1972,May,1698,Women,5.7
1972-06,1972,Jun,1666,Women,5.6
1972-07,1972,Jul,1702,Women,5.7
1972-08,1972,Aug,1684,Women,5.6
1972-09,1972,Sep,1657,Women,5.5
1972-10,1972,Oct,1689,Women,5.6
1972-11,1972,Nov,1523,Women,5.1
1972-12,1972,Dec,1512,Women,5.0
1973-01,1973,Jan,1552,Women,5.1
1973-02,1973,Feb,1492,Women,4.9
1973-03,1973,Mar,1498,Women,4.9
1973-04,1973,Apr,1480,Women,4.8
1973-05,1973,May,1403,Women,4.6
1973-06,1973,Jun,1541,Women,5.0
1973-07,1973,Jul,1532,Women,4.9
1973-08,1973,Aug,1546,Women,5.0
1973-09,1973,Sep,1539,Women,4.9
1973-10,1973,Oct,1416,Women,4.5
1973-11,1973,Nov,1518,Women,4.8
1973-12,1973,Dec,1573,Women,5.0
1974-01,1974,Jan,1598,Women,5.1
1974-02,1974,Feb,1600,Women,5.0
1974-03,1974,Mar,1581,Women,5.0
1974-04,1974,Apr,1579,Women,4.9
1974-05,1974,May,1618,Women,5.0
1974-06,1974,Jun,1670,Women,5.2
1974-07,1974,Jul,1733,Women,5.3
1974-08,1974,Aug,1764,Women,5.4
1974-09,1974,Sep,1918,Women,5.9
1974-10,1974,Oct,1846,Women,5.7
1974-11,1974,Nov,2166,Women,6.6
1974-12,1974,Dec,2295,Women,7.0
1975-01,1975,Jan,2629,Women,8.0
1975-02,1975,Feb,2595,Women,7.9
1975-03,1975,Mar,2742,Women,8.3
1975-04,1975,Apr,2831,Women,8.5
1975-05,1975,May,2838,Women,8.5
1975-06,1975,Jun,2753,Women,8.2
1975-07,1975,Jul,2679,Women,8.0
1975-08,1975,Aug,2643,Women,7.9
1975-09,1975,Sep,2600,Women,7.7
1975-10,1975,Oct,2657,Women,7.9
1975-11,1975,Nov,2624,Women,7.8
1975-12,1975,Dec,2638,Women,7.8
1976-01,1976,Jan,2619,Women,7.7
1976-02,1976,Feb,2575,Women,7.5
1976-03,1976,Mar,2518,Women,7.3
1976-04,1976,Apr,2545,Women,7.4
1976-05,1976,May,2384,Women,6.9
1976-06,1976,Jun,2498,Women,7.2
1976-07,1976,Jul,2673,Women,7.6
1976-08,1976,Aug,2673,Women,7.6
1976-09,1976,Sep,2635,Women,7.5
1976-10,1976,Oct,2638,Women,7.5
1976-11,1976,Nov,2644,Women,7.5
1976-12,1976,Dec,2597,Women,7.3
1977-01,1977,Jan,2527,Women,7.1
1977-02,1977,Feb,2616,Women,7.3
1977-03,1977,Mar,2642,Women,7.4
1977-04,1977,Apr,2562,Women,7.1
1977-05,1977,May,2408,Women,6.6
1977-06,1977,Jun,2577,Women,7.1
1977-07,1977,Jul,2492,Women,6.9
1977-08,1977,Aug,2542,Women,7.0
1977-09,1977,Sep,2538,Women,6.9
1977-10,1977,Oct,2462,Women,6.7
1977-11,1977,Nov,2589,Women,7.0
1977-12,1977,Dec,2416,Women,6.5
1978-01,1978,Jan,2375,Women,6.4
1978-02,1978,Feb,2210,Women,5.9
1978-03,1978,Mar,2238,Women,6.0
1978-04,1978,Apr,2263,Women,6.0
1978-05,1978,May,2283,Women,6.0
1978-06,1978,Jun,2322,Women,6.1
1978-07,1978,Jul,2464,Women,6.4
1978-08,1978,Aug,2295,Women,6.0
1978-09,1978,Sep,2308,Women,6.0
1978-10,1978,Oct,2158,Women,5.6
1978-11,1978,Nov,2281,Women,5.9
1978-12,1978,Dec,2278,Women,5.8
1979-01,1979,Jan,2262,Women,5.8
1979-02,1979,Feb,2312,Women,5.9
1979-03,1979,Mar,2289,Women,5.8
1979-04,1979,Apr,2238,Women,5.7
1979-05,1979,May,2189,Women,5.6
1979-06,1979,Jun,2251,Women,5.7
1979-07,1979,Jul,2196,Women,5.5
1979-08,1979,Aug,2406,Women,6.0
1979-09,1979,Sep,2254,Women,5.6
1979-10,1979,Oct,2300,Women,5.7
1979-11,1979,Nov,2264,Women,5.6
1979-12,1979,Dec,2319,Women,5.7
1980-01,1980,Jan,2380,Women,5.8
1980-02,1980,Feb,2395,Women,5.9
1980-03,1980,Mar,2341,Women,5.7
1980-04,1980,Apr,2565,Women,6.3
1980-05,1980,May,2624,Women,6.4
1980-06,1980,Jun,2656,Women,6.5
1980-07,1980,Jul,2733,Women,6.6
1980-08,1980,Aug,2762,Women,6.7
1980-09,1980,Sep,2601,Women,6.3
1980-10,1980,Oct,2788,Women,6.7
1980-11,1980,Nov,2767,Women,6.7
1980-12,1980,Dec,2775,Women,6.7
1981-01,1981,Jan,2824,Women,6.7
1981-02,1981,Feb,2777,Women,6.6
1981-03,1981,Mar,2770,Women,6.6
1981-04,1981,Apr,2772,Women,6.5
1981-05,1981,May,2844,Women,6.7
1981-06,1981,Jun,2832,Women,6.7
1981-07,1981,Jul,2855,Women,6.7
1981-08,1981,Aug,2834,Women,6.7
1981-09,1981,Sep,2942,Women,7.0
1981-10,1981,Oct,3029,Women,7.1
1981-11,1981,Nov,3115,Women,7.2
1981-12,1981,Dec,3173,Women,7.4
1982-01,1982,Jan,3131,Women,7.3
1982-02,1982,Feb,3304,Women,7.7
1982-03,1982,Mar,3403,Women,7.9
1982-04,1982,Apr,3544,Women,8.2
1982-05,1982,May,3555,Women,8.1
1982-06,1982,Jun,3564,Women,8.1
1982-07,1982,Jul,3655,Women,8.3
1982-08,1982,Aug,3627,Women,8.3
1982-09,1982,Sep,3681,Women,8.4
1982-10,1982,Oct,3805,Women,8.7
1982-11,1982,Nov,4029,Women,9.1
1982-12,1982,Dec,4122,Women,9.3
1983-01,1983,Jan,3987,Women,9.0
1983-02,1983,Feb,3948,Women,8.9
1983-03,1983,Mar,3876,Women,8.8
1983-04,1983,Apr,3735,Women,8.4
1983-05,1983,May,3721,Women,8.4
1983-06,1983,Jun,3874,Women,8.7
1983-07,1983,Jul,3503,Women,7.9
1983-08,1983,Aug,3539,Women,7.9
1983-09,1983,Sep,3482,Women,7.7
1983-10,1983,Oct,3356,Women,7.5
