,Year,Month,Unemployment level,Date,Age
0,1969,Jan,524.0,1969-01,20 to 24 years
1,1970,Jan,653.0,1970-01,20 to 24 years
2,1971,Jan,1081.0,1971-01,20 to 24 years
3,1972,Jan,1168.0,1972-01,20 to 24 years
4,1973,Jan,1008.0,1973-01,20 to 24 years
5,1974,Jan,1082.0,1974-01,20 to 24 years
6,1975,Jan,1666.0,1975-01,20 to 24 years
7,1976,Jan,1765.0,1976-01,20 to 24 years
8,1977,Jan,1665.0,1977-01,20 to 24 years
9,1978,Jan,1602.0,1978-01,20 to 24 years
10,1979,Jan,1377.0,1979-01,20 to 24 years
11,1980,Jan,1628.0,1980-01,20 to 24 years
12,1981,Jan,1918.0,1981-01,20 to 24 years
13,1982,Jan,2166.0,1982-01,20 to 24 years
14,1983,Jan,2577.0,1983-01,20 to 24 years
15,1984,Jan,2006.0,1984-01,20 to 24 years
16,1985,Jan,1753.0,1985-01,20 to 24 years
17,1986,Jan,1628.0,1986-01,20 to 24 years
18,1987,Jan,1618.0,1987-01,20 to 24 years
19,1988,Jan,1327.0,1988-01,20 to 24 years
20,1989,Jan,1315.0,1989-01,20 to 24 years
21,1990,Jan,1263.0,1990-01,20 to 24 years
22,1991,Jan,1420.0,1991-01,20 to 24 years
23,1992,Jan,1639.0,1992-01,20 to 24 years
24,1993,Jan,1616.0,1993-01,20 to 24 years
25,1994,Jan,1532.0,1994-01,20 to 24 years
26,1995,Jan,1207.0,1995-01,20 to 24 years
27,1996,Jan,1339.0,1996-01,20 to 24 years
28,1997,Jan,1283.0,1997-01,20 to 24 years
29,1998,Jan,1245.0,1998-01,20 to 24 years
30,1999,Jan,977.0,1999-01,20 to 24 years
31,2000,Jan,1057.0,2000-01,20 to 24 years
32,2001,Jan,1057.0,2001-01,20 to 24 years
33,2002,Jan,1417.0,2002-01,20 to 24 years
34,2003,Jan,1408.0,2003-01,20 to 24 years
35,2004,Jan,1465.0,2004-01,20 to 24 years
36,2005,Jan,1438.0,2005-01,20 to 24 years
37,2006,Jan,1224.0,2006-01,20 to 24 years
38,2007,Jan,1252.0,2007-01,20 to 24 years
39,2008,Jan,1357.0,2008-01,20 to 24 years
40,2009,Jan,1864.0,2009-01,20 to 24 years
41,2010,Jan,2362.0,2010-01,20 to 24 years
42,2011,Jan,2323.0,2011-01,20 to 24 years
43,2012,Jan,2042.0,2012-01,20 to 24 years
44,2013,Jan,2232.0,2013-01,20 to 24 years
45,2014,Jan,1862.0,2014-01,20 to 24 years
46,2015,Jan,1486.0,2015-01,20 to 24 years
47,2016,Jan,1182.0,2016-01,20 to 24 years
48,2017,Jan,1255.0,2017-01,20 to 24 years
