,Year,Month,Employment Level,Date,Age
0,1969,Jan,8993.0,1969-01,20 to 24 years
1,1970,Jan,9603.0,1970-01,20 to 24 years
2,1971,Jan,9928.0,1971-01,20 to 24 years
3,1972,Jan,10600.0,1972-01,20 to 24 years
4,1973,Jan,11481.0,1973-01,20 to 24 years
5,1974,Jan,11977.0,1974-01,20 to 24 years
6,1975,Jan,11947.0,1975-01,20 to 24 years
7,1976,Jan,12186.0,1976-01,20 to 24 years
8,1977,Jan,12908.0,1977-01,20 to 24 years
9,1978,Jan,13540.0,1978-01,20 to 24 years
10,1979,Jan,14236.0,1979-01,20 to 24 years
11,1980,Jan,14266.0,1980-01,20 to 24 years
12,1981,Jan,14208.0,1981-01,20 to 24 years
13,1982,Jan,13857.0,1982-01,20 to 24 years
14,1983,Jan,13496.0,1983-01,20 to 24 years
15,1984,Jan,14002.0,1984-01,20 to 24 years
16,1985,Jan,14144.0,1985-01,20 to 24 years
17,1986,Jan,13951.0,1986-01,20 to 24 years
18,1987,Jan,13702.0,1987-01,20 to 24 years
19,1988,Jan,13463.0,1988-01,20 to 24 years
20,1989,Jan,13028.0,1989-01,20 to 24 years
21,1990,Jan,13423.0,1990-01,20 to 24 years
22,1991,Jan,13345.0,1991-01,20 to 24 years
23,1992,Jan,12858.0,1992-01,20 to 24 years
24,1993,Jan,12902.0,1993-01,20 to 24 years
25,1994,Jan,12566.0,1994-01,20 to 24 years
26,1995,Jan,12826.0,1995-01,20 to 24 years
27,1996,Jan,12104.0,1996-01,20 to 24 years
28,1997,Jan,12283.0,1997-01,20 to 24 years
29,1998,Jan,12464.0,1998-01,20 to 24 years
30,1999,Jan,12706.0,1999-01,20 to 24 years
31,2000,Jan,13046.0,2000-01,20 to 24 years
32,2001,Jan,13497.0,2001-01,20 to 24 years
33,2002,Jan,13110.0,2002-01,20 to 24 years
34,2003,Jan,13508.0,2003-01,20 to 24 years
35,2004,Jan,13668.0,2004-01,20 to 24 years
36,2005,Jan,13726.0,2005-01,20 to 24 years
37,2006,Jan,13727.0,2006-01,20 to 24 years
38,2007,Jan,14130.0,2007-01,20 to 24 years
39,2008,Jan,13836.0,2008-01,20 to 24 years
40,2009,Jan,13069.0,2009-01,20 to 24 years
41,2010,Jan,12494.0,2010-01,20 to 24 years
42,2011,Jan,12963.0,2011-01,20 to 24 years
43,2012,Jan,13354.0,2012-01,20 to 24 years
44,2013,Jan,13454.0,2013-01,20 to 24 years
45,2014,Jan,13755.0,2014-01,20 to 24 years
46,2015,Jan,14020.0,2015-01,20 to 24 years
47,2016,Jan,14054.0,2016-01,20 to 24 years
48,2017,Jan,14071.0,2017-01,20 to 24 years
49,2018,Jan,14181.0,2018-01,20 to 24 years
50,2019,Jan,13950.0,2019-01,20 to 24 years
51,2020,Jan,14186.0,2020-01,20 to 24 years
52,2021,Jan,13220.0,2021-01,20 to 24 years
53,2022,Jan,13753.0,2022-01,20 to 24 years
54,2023,Jan,14705.0,2023-01,20 to 24 years
55,1969,Feb,9162.0,1969-02,20 to 24 years
56,1970,Feb,9565.0,1970-02,20 to 24 years
57,1971,Feb,9876.0,1971-02,20 to 24 years
58,1972,Feb,10722.0,1972-02,20 to 24 years
59,1973,Feb,11612.0,1973-02,20 to 24 years
60,1974,Feb,12062.0,1974-02,20 to 24 years
61,1975,Feb,11815.0,1975-02,20 to 24 years
62,1976,Feb,12339.0,1976-02,20 to 24 years
63,1977,Feb,12926.0,1977-02,20 to 24 years
64,1978,Feb,13512.0,1978-02,20 to 24 years
65,1979,Feb,14337.0,1979-02,20 to 24 years
66,1980,Feb,14287.0,1980-02,20 to 24 years
67,1981,Feb,14168.0,1981-02,20 to 24 years
68,1982,Feb,13819.0,1982-02,20 to 24 years
69,1983,Feb,13521.0,1983-02,20 to 24 years
70,1984,Feb,14115.0,1984-02,20 to 24 years
71,1985,Feb,14041.0,1985-02,20 to 24 years
72,1986,Feb,13978.0,1986-02,20 to 24 years
73,1987,Feb,13663.0,1987-02,20 to 24 years
74,1988,Feb,13447.0,1988-02,20 to 24 years
75,1989,Feb,13115.0,1989-02,20 to 24 years
76,1990,Feb,13481.0,1990-02,20 to 24 years
77,1991,Feb,13132.0,1991-02,20 to 24 years
78,1992,Feb,12847.0,1992-02,20 to 24 years
79,1993,Feb,12867.0,1993-02,20 to 24 years
80,1994,Feb,12755.0,1994-02,20 to 24 years
81,1995,Feb,12716.0,1995-02,20 to 24 years
82,1996,Feb,12068.0,1996-02,20 to 24 years
83,1997,Feb,12288.0,1997-02,20 to 24 years
84,1998,Feb,12488.0,1998-02,20 to 24 years
85,1999,Feb,12743.0,1999-02,20 to 24 years
86,2000,Feb,13047.0,2000-02,20 to 24 years
87,2001,Feb,13449.0,2001-02,20 to 24 years
88,2002,Feb,13344.0,2002-02,20 to 24 years
89,2003,Feb,13510.0,2003-02,20 to 24 years
90,2004,Feb,13652.0,2004-02,20 to 24 years
91,2005,Feb,13571.0,2005-02,20 to 24 years
92,2006,Feb,13805.0,2006-02,20 to 24 years
93,2007,Feb,14162.0,2007-02,20 to 24 years
