,Year,Month,Unemployment Rate,Date,Age,Unnamed: 0,Unemployment level
0,1969,Jan,5.5,1969-01,20 to 24 years,0,524.0
1,1970,Jan,6.4,1970-01,20 to 24 years,1,653.0
2,1971,Jan,9.8,1971-01,20 to 24 years,2,1081.0
3,1972,Jan,9.9,1972-01,20 to 24 years,3,1168.0
4,1973,Jan,8.1,1973-01,20 to 24 years,4,1008.0
5,1974,Jan,8.3,1974-01,20 to 24 years,5,1082.0
6,1975,Jan,12.2,1975-01,20 to 24 years,6,1666.0
7,1976,Jan,12.7,1976-01,20 to 24 years,7,1765.0
8,1977,Jan,11.4,1977-01,20 to 24 years,8,1665.0
9,1978,Jan,10.6,1978-01,20 to 24 years,9,1602.0
10,1979,Jan,8.8,1979-01,20 to 24 years,10,1377.0
11,1980,Jan,10.2,1980-01,20 to 24 years,11,1628.0
12,1981,Jan,11.9,1981-01,20 to 24 years,12,1918.0
13,1982,Jan,13.5,1982-01,20 to 24 years,13,2166.0
14,1983,Jan,16.0,1983-01,20 to 24 years,14,2577.0
15,1984,Jan,12.5,1984-01,20 to 24 years,15,2006.0
16,1985,Jan,11.0,1985-01,20 to 24 years,16,1753.0
17,1986,Jan,10.4,1986-01,20 to 24 years,17,1628.0
18,1987,Jan,10.6,1987-01,20 to 24 years,18,1618.0
19,1988,Jan,9.0,1988-01,20 to 24 years,19,1327.0
20,1989,Jan,9.2,1989-01,20 to 24 years,20,1315.0
21,1990,Jan,8.6,1990-01,20 to 24 years,21,1263.0
22,1991,Jan,9.6,1991-01,20 to 24 years,22,1420.0
23,1992,Jan,11.3,1992-01,20 to 24 years,23,1639.0
24,1993,Jan,11.1,1993-01,20 to 24 years,24,1616.0
25,1994,Jan,10.9,1994-01,20 to 24 years,25,1532.0
26,1995,Jan,8.6,1995-01,20 to 24 years,26,1207.0
27,1996,Jan,10.0,1996-01,20 to 24 years,27,1339.0
28,1997,Jan,9.5,1997-01,20 to 24 years,28,1283.0
29,1998,Jan,9.1,1998-01,20 to 24 years,29,1245.0
30,1999,Jan,7.1,1999-01,20 to 24 years,30,977.0
31,2000,Jan,7.5,2000-01,20 to 24 years,31,1057.0
32,2001,Jan,7.3,2001-01,20 to 24 years,32,1057.0
33,2002,Jan,9.8,2002-01,20 to 24 years,33,1417.0
34,2003,Jan,9.4,2003-01,20 to 24 years,34,1408.0
35,2004,Jan,9.7,2004-01,20 to 24 years,35,1465.0
36,2005,Jan,9.5,2005-01,20 to 24 years,36,1438.0
37,2006,Jan,8.2,2006-01,20 to 24 years,37,1224.0
38,2007,Jan,8.1,2007-01,20 to 24 years,38,1252.0
39,2008,Jan,8.9,2008-01,20 to 24 years,39,1357.0
40,2009,Jan,12.5,2009-01,20 to 24 years,40,1864.0
41,2010,Jan,15.9,2010-01,20 to 24 years,41,2362.0
42,2011,Jan,15.2,2011-01,20 to 24 years,42,2323.0
43,2012,Jan,13.3,2012-01,20 to 24 years,43,2042.0
44,2013,Jan,14.2,2013-01,20 to 24 years,44,2232.0
45,2014,Jan,11.9,2014-01,20 to 24 years,45,1862.0
46,2015,Jan,9.6,2015-01,20 to 24 years,46,1486.0
47,2016,Jan,7.8,2016-01,20 to 24 years,47,1182.0
48,2017,Jan,8.2,2017-01,20 to 24 years,48,1255.0
49,2018,Jan,7.4,2018-01,20 to 24 years,49,1132.0
50,2019,Jan,7.8,2019-01,20 to 24 years,50,1177.0
51,2020,Jan,7.0,2020-01,20 to 24 years,51,1061.0
52,2021,Jan,9.9,2021-01,20 to 24 years,52,1452.0
53,2022,Jan,7.3,2022-01,20 to 24 years,53,1076.0
54,2023,Jan,7.1,2023-01,20 to 24 years,54,1116.0
55,1969,Feb,5.5,1969-02,20 to 24 years,55,533.0
56,1970,Feb,7.4,1970-02,20 to 24 years,56,761.0
57,1971,Feb,10.0,1971-02,20 to 24 years,57,1094.0
58,1972,Feb,9.2,1972-02,20 to 24 years,58,1091.0
59,1973,Feb,8.0,1973-02,20 to 24 years,59,1006.0
60,1974,Feb,8.4,1974-02,20 to 24 years,60,1113.0
61,1975,Feb,13.1,1975-02,20 to 24 years,61,1782.0
62,1976,Feb,11.9,1976-02,20 to 24 years,62,1671.0
63,1977,Feb,12.0,1977-02,20 to 24 years,63,1764.0
64,1978,Feb,10.3,1978-02,20 to 24 years,64,1558.0
65,1979,Feb,9.0,1979-02,20 to 24 years,65,1416.0
66,1980,Feb,10.0,1980-02,20 to 24 years,66,1587.0
67,1981,Feb,11.8,1981-02,20 to 24 years,67,1900.0
68,1982,Feb,14.0,1982-02,20 to 24 years,68,2249.0
69,1983,Feb,16.2,1983-02,20 to 24 years,69,2610.0
70,1984,Feb,11.7,1984-02,20 to 24 years,70,1869.0
71,1985,Feb,11.3,1985-02,20 to 24 years,71,1786.0
72,1986,Feb,10.9,1986-02,20 to 24 years,72,1709.0
73,1987,Feb,10.5,1987-02,20 to 24 years,73,1609.0
74,1988,Feb,8.9,1988-02,20 to 24 years,74,1314.0
75,1989,Feb,8.2,1989-02,20 to 24 years,75,1176.0
76,1990,Feb,8.4,1990-02,20 to 24 years,76,1242.0
77,1991,Feb,10.4,1991-02,20 to 24 years,77,1528.0
78,1992,Feb,11.3,1992-02,20 to 24 years,78,1644.0
79,1993,Feb,11.3,1993-02,20 to 24 years,79,1638.0
80,1994,Feb,10.2,1994-02,20 to 24 years,80,1441.0
81,1995,Feb,8.5,1995-02,20 to 24 years,81,1177.0
82,1996,Feb,9.6,1996-02,20 to 24 years,82,1284.0
83,1997,Feb,8.6,1997-02,20 to 24 years,83,1157.0
84,1998,Feb,8.4,1998-02,20 to 24 years,84,1138.0
85,1999,Feb,7.7,1999-02,20 to 24 years,85,1064.0
86,2000,Feb,7.6,2000-02,20 to 24 years,86,1071.0
87,2001,Feb,7.4,2001-02,20 to 24 years,87,1068.0
88,2002,Feb,9.7,2002-02,20 to 24 years,88,1432.0
89,2003,Feb,9.5,2003-02,20 to 24 years,89,1425.0
90,2004,Feb,9.5,2004-02,20 to 24 years,90,1429.0
91,2005,Feb,10.0,2005-02,20 to 24 years,91,1515.0
92,2006,Feb,8.6,2006-02,20 to 24 years,92,1303.0
93,2007,Feb,7.6,2007-02,20 to 24 years,93,1161.0
94,2008,Feb,9.0,2008-02,20 to 24 years,94,1349.0
95,2009,Feb,13.2,2009-02,20 to 24 years,95,1993.0
96,2010,Feb,15.8,2010-02,20 to 24 years,96,2359.0
97,2011,Feb,15.3,2011-02,20 to 24 years,97,2344.0
98,2012,Feb,13.8,2012-02,20 to 24 years,98,2139.0
99,2013,Feb,12.9,2013-02,20 to 24 years,99,2011.0
100,2014,Feb,12.0,2014-02,20 to 24 years,100,1868.0
101,2015,Feb,10.0,2015-02,20 to 24 years,101,1557.0
102,2016,Feb,8.6,2016-02,20 to 24 years,102,1325.0
103,2017,Feb,8.0,2017-02,20 to 24 years,103,1240.0
104,2018,Feb,6.9,2018-02,20 to 24 years,104,1047.0
105,2019,Feb,7.3,2019-02,20 to 24 years,105,1103.0
106,2020,Feb,6.5,2020-02,20 to 24 years,106,988.0
107,2021,Feb,9.7,2021-02,20 to 24 years,107,1426.0
108,2022,Feb,7.5,2022-02,20 to 24 years,108,1121.0
109,2023,Feb,6.9,2023-02,20 to 24 years,109,1103.0
