,Year,Month,Unemployment Rate,Date,Age,Unemployment level,Employment Level,RoC_Unemployment_level,RoC_Unemployment_rate,RoC_Employment_level
0,1969,Jan,5.5,1969-01,20 to 24 years,524,8993,,,
1,1970,Jan,6.4,1970-01,20 to 24 years,653,9603,129,-0.9,610
2,1971,Jan,9.8,1971-01,20 to 24 years,1081,9928,428,-3.4,325
3,1972,Jan,9.9,1972-01,20 to 24 years,1168,10600,87,-0.1,672
4,1973,Jan,8.1,1973-01,20 to 24 years,1008,11481,-160,1.8,881
5,1974,Jan,8.3,1974-01,20 to 24 years,1082,11977,74,-0.2,496
6,1975,Jan,12.2,1975-01,20 to 24 years,1666,11947,584,-3.9,-30
7,1976,Jan,12.7,1976-01,20 to 24 years,1765,12186,99,-0.5,239
8,1977,Jan,11.4,1977-01,20 to 24 years,1665,12908,-100,1.3,722
9,1978,Jan,10.6,1978-01,20 to 24 years,1602,13540,-63,0.8,632
10,1979,Jan,8.8,1979-01,20 to 24 years,1377,14236,-225,1.8,696
11,1980,Jan,10.2,1980-01,20 to 24 years,1628,14266,251,-1.4,30
12,1981,Jan,11.9,1981-01,20 to 24 years,1918,14208,290,-1.7,-58
13,1982,Jan,13.5,1982-01,20 to 24 years,2166,13857,248,-1.6,-351
14,1983,Jan,16,1983-01,20 to 24 years,2577,13496,411,-2.5,-361
15,1984,Jan,12.5,1984-01,20 to 24 years,2006,14002,-571,3.5,506
16,1985,Jan,11,1985-01,20 to 24 years,1753,14144,-253,1.5,142
17,1986,Jan,10.4,1986-01,20 to 24 years,1628,13951,-125,0.6,-193
18,1987,Jan,10.6,1987-01,20 to 24 years,1618,13702,-10,-0.2,-249
19,1988,Jan,9,1988-01,20 to 24 years,1327,13463,-291,1.6,-239
20,1989,Jan,9.2,1989-01,20 to 24 years,1315,13028,-12,-0.2,-435
21,1990,Jan,8.6,1990-01,20 to 24 years,1263,13423,-52,0.6,395
22,1991,Jan,9.6,1991-01,20 to 24 years,1420,13345,157,-1,-78
23,1992,Jan,11.3,1992-01,20 to 24 years,1639,12858,219,-1.7,-487
24,1993,Jan,11.1,1993-01,20 to 24 years,1616,12902,-23,0.2,44
25,1994,Jan,10.9,1994-01,20 to 24 years,1532,12566,-84,0.2,-336
26,1995,Jan,8.6,1995-01,20 to 24 years,1207,12826,-325,2.3,260
27,1996,Jan,10,1996-01,20 to 24 years,1339,12104,132,-1.4,-722
28,1997,Jan,9.5,1997-01,20 to 24 years,1283,12283,-56,0.5,179
29,1998,Jan,9.1,1998-01,20 to 24 years,1245,12464,-38,0.4,181
30,1999,Jan,7.1,1999-01,20 to 24 years,977,12706,-268,2,242
31,2000,Jan,7.5,2000-01,20 to 24 years,1057,13046,80,-0.4,340
32,2001,Jan,7.3,2001-01,20 to 24 years,1057,13497,0,0.2,451
33,2002,Jan,9.8,2002-01,20 to 24 years,1417,13110,360,-2.5,-387
34,2003,Jan,9.4,2003-01,20 to 24 years,1408,13508,-9,0.4,398
35,2004,Jan,9.7,2004-01,20 to 24 years,1465,13668,57,-0.3,160
36,2005,Jan,9.5,2005-01,20 to 24 years,1438,13726,-27,0.2,58
37,2006,Jan,8.2,2006-01,20 to 24 years,1224,13727,-214,1.3,1
38,2007,Jan,8.1,2007-01,20 to 24 years,1252,14130,28,0.1,403
39,2008,Jan,8.9,2008-01,20 to 24 years,1357,13836,105,-0.8,-294
40,2009,Jan,12.5,2009-01,20 to 24 years,1864,13069,507,-3.6,-767
41,2010,Jan,15.9,2010-01,20 to 24 years,2362,12494,498,-3.4,-575
42,2011,Jan,15.2,2011-01,20 to 24 years,2323,12963,-39,0.7,469
43,2012,Jan,13.3,2012-01,20 to 24 years,2042,13354,-281,1.9,391
44,2013,Jan,14.2,2013-01,20 to 24 years,2232,13454,190,-0.9,100
45,2014,Jan,11.9,2014-01,20 to 24 years,1862,13755,-370,2.3,301
46,2015,Jan,9.6,2015-01,20 to 24 years,1486,14020,-376,2.3,265
47,2016,Jan,7.8,2016-01,20 to 24 years,1182,14054,-304,1.8,34
48,2017,Jan,8.2,2017-01,20 to 24 years,1255,14071,73,-0.4,17
49,2018,Jan,7.4,2018-01,20 to 24 years,1132,14181,-123,0.8,110
50,2019,Jan,7.8,2019-01,20 to 24 years,1177,13950,45,-0.4,-231
51,2020,Jan,7,2020-01,20 to 24 years,1061,14186,-116,0.8,236
52,2021,Jan,9.9,2021-01,20 to 24 years,1452,13220,391,-2.9,-966
53,2022,Jan,7.3,2022-01,20 to 24 years,1076,13753,-376,2.6,533
54,2023,Jan,7.1,2023-01,20 to 24 years,1116,14705,40,0.2,952
55,1969,Feb,5.5,1969-02,20 to 24 years,533,9162,-583,1.6,-5543
56,1970,Feb,7.4,1970-02,20 to 24 years,761,9565,228,-1.9,403
57,1971,Feb,10,1971-02,20 to 24 years,1094,9876,333,-2.6,311
58,1972,Feb,9.2,1972-02,20 to 24 years,1091,10722,-3,0.8,846
59,1973,Feb,8,1973-02,20 to 24 years,1006,11612,-85,1.2,890
60,1974,Feb,8.4,1974-02,20 to 24 years,1113,12062,107,-0.4,450
61,1975,Feb,13.1,1975-02,20 to 24 years,1782,11815,669,-4.7,-247
62,1976,Feb,11.9,1976-02,20 to 24 years,1671,12339,-111,1.2,524
