Year,20 to 24 years Age ROC Unemployment rate,25 to 34 years Age ROC Unemployment rate,35 to 44 years Age ROC Unemployment rate,45 to 54 years Age ROC Unemployment rate,55 years and above Age ROC Unemployment rate
1969,0.9363636363636364,1.3499999999999999,0.725,0.5416666666666666,0.4666666666666666
1970,-2.5666666666666664,-1.4583333333333333,-1.0083333333333333,-0.9249999999999999,-0.8666666666666667
1971,-1.7666666666666666,-1.0250000000000001,-0.6916666666666668,-0.5416666666666666,-0.47500000000000003
1972,0.6833333333333332,0.6583333333333333,0.35833333333333334,0.3833333333333333,0.041666666666666664
1973,1.4916666666666665,0.35833333333333334,0.7833333333333333,0.5,0.6416666666666667
1974,-1.3083333333333333,-0.5750000000000001,-0.6416666666666667,-0.4083333333333334,-0.2833333333333333
1975,-4.441666666666666,-2.966666666666667,-2.2666666666666666,-2.35,-1.8
1976,1.5916666666666668,0.7333333333333334,0.7416666666666667,0.8083333333333332,0.15833333333333333
1977,1.0416666666666667,0.6083333333333334,0.5333333333333333,0.525,0.49166666666666664
1978,1.325,1.1333333333333333,0.6666666666666666,0.6666666666666666,0.9416666666666668
1979,0.4666666666666666,0.15833333333333333,0.11666666666666668,0.06666666666666667,0.15
1980,-2.4,-1.8083333333333333,-1.0416666666666667,-0.8250000000000001,-0.3
1981,-0.7083333333333334,-0.31666666666666665,-0.39999999999999997,-0.19166666666666665,-0.2916666666666667
1982,-2.6416666666666666,-2.5,-1.9166666666666667,-1.5333333333333332,-1.4166666666666667
1983,0.4083333333333334,0.1333333333333333,-0.05833333333333335,-0.425,-0.225
1984,3.0500000000000003,2.4166666666666665,1.6333333333333335,1.3083333333333333,0.8083333333333332
1985,0.39166666666666666,0.25,0.20833333333333334,0.15,0.3333333333333333
1986,0.375,0.06666666666666667,0.09999999999999999,0.2333333333333333,0.21666666666666667
1987,1.0333333333333334,0.9,0.5416666666666666,0.5,0.6
1988,0.9666666666666667,0.5916666666666667,0.5583333333333333,0.5416666666666666,0.225
1989,0.07500000000000001,0.2833333333333333,0.16666666666666666,0.25833333333333336,4.625929269271485e-18
1990,-0.25833333333333336,-0.4083333333333334,-0.3666666666666667,-0.3833333333333333,-0.19999999999999998
1991,-1.9666666666666668,-1.3499999999999999,-1.0333333333333334,-1.0,-0.6749999999999999
1992,-0.48333333333333334,-0.7333333333333334,-0.6416666666666667,-0.5916666666666667,-0.8666666666666667
1993,0.7916666666666666,0.7416666666666667,0.35000000000000003,0.3416666666666666,0.47500000000000003
1994,0.8166666666666668,0.9166666666666666,0.8666666666666667,0.8250000000000001,0.2333333333333333
1995,0.6083333333333333,0.5833333333333334,0.26666666666666666,0.6166666666666667,0.39999999999999997
1996,-0.15,0.20833333333333334,0.2333333333333333,0.016666666666666666,0.26666666666666666
1997,0.7333333333333333,0.5083333333333333,0.3166666666666667,0.3416666666666666,0.4166666666666667
1998,0.625,0.35833333333333334,0.43333333333333335,0.25833333333333336,0.2916666666666667
1999,0.4166666666666667,0.35833333333333334,0.31666666666666665,0.19166666666666668,-0.05833333333333333
2000,0.325,0.27499999999999997,0.03333333333333333,0.10833333333333334,0.18333333333333332
2001,-1.1833333333333333,-0.975,-0.65,-0.6583333333333333,-0.43333333333333335
2002,-1.3416666666666668,-1.2,-0.9416666666666668,-0.9249999999999999,-0.8166666666666668
2003,-0.325,-0.19999999999999998,-0.3416666666666666,-0.049999999999999996,-0.21666666666666667
2004,0.5833333333333334,0.5583333333333333,0.5833333333333334,0.25833333333333336,0.31666666666666665
2005,0.6166666666666667,0.375,0.4916666666666667,0.35000000000000003,0.3833333333333333
2006,0.6416666666666666,0.47500000000000003,0.2916666666666667,0.375,0.39999999999999997
2007,-0.041666666666666664,0.00833333333333334,0.125,-0.075,-0.18333333333333335
2008,-2.0,-1.2249999999999999,-1.1500000000000001,-0.9333333333333332,-0.6833333333333332
2009,-4.558333333333334,-4.008333333333334,-3.3833333333333333,-3.0666666666666664,-2.766666666666667
2010,-0.75,-0.15833333333333333,-0.09999999999999999,-0.5166666666666667,-0.425
2011,0.875,0.5916666666666667,0.7666666666666666,0.6583333333333333,0.4083333333333334
2012,1.3499999999999999,1.2166666666666666,0.7416666666666667,0.8083333333333332,0.5750000000000001
2013,0.5,0.8083333333333332,0.7000000000000001,0.5750000000000001,0.6916666666666668
2014,1.625,0.9166666666666666,1.1333333333333333,1.25,0.9333333333333332
2015,1.4833333333333334,1.0083333333333333,0.6,0.6833333333333332,0.625
2016,1.2583333333333333,0.44166666666666665,0.30833333333333335,0.20833333333333334,0.15
2017,1.0416666666666667,0.4916666666666667,0.39166666666666666,0.3416666666666666,0.39999999999999997
2018,0.45,0.6083333333333333,0.4583333333333333,0.35833333333333334,0.25
2019,0.19999999999999998,0.25,0.25833333333333336,0.09999999999999999,0.2916666666666667
2020,-7.2250000000000005,-4.766666666666667,-3.725,-3.6666666666666665,-4.3
2021,5.008333333333334,2.7583333333333333,1.8499999999999999,2.225,2.716666666666667
2022,1.9416666666666667,1.8333333333333333,1.675,1.7249999999999999,1.6083333333333334
2023,0.475,0.05,0.225,-0.037500000000000006,0.23750000000000002
